WorkerId	DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Discourse.MetLit	word1	word2	word3	word4	word5
w62	d507	cause doubt	cast doubt	lit	met	power	control	promote	narrative	creationists
w7	d507	cause doubt	cast doubt	lit	lit	away	tv	control	media	brainwashing
w23	d507	cause doubt	cast doubt	lit	lit	access	power	control	access	information
w24	d740	example show	example illustrate	met	lit	plans	laid	leading	use	guidance
w1	d740	example show	example illustrate	met	lit	the	next	system	to	help
w41	d740	example show	example illustrate	met	lit	adoption	supersede	leading	invaluable	guidance
w3	d740	example show	example illustrate	met	lit	e-learning	programme	international	collaboration	infrasctructure
w43	d740	example show	example illustrate	met	lit	access	management	system	institutions	infrastructures
w63	d740	example show	example illustrate	met	lit	plans	adoption	system	guidance	collaboration
w16	d740	example show	example illustrate	met	lit	plans	shibboleth	management	system	infrastructures
w7	d740	example show	example illustrate	met	lit	shibboleth	institutions	collaboration	infrastructures	jisc
w9	d740	example show	example illustrate	met	lit	adoption	generation	invaluable	collaboration	infrastructions
w64	d740	example show	example illustrate	met	lit	next-generation	supersede	invaluable	collaboration	infrastructures
w24	d362	urge someone	push someone	lit	lit	mind	solicits	information	clearly	described
w1	d362	urge someone	push someone	lit	lit	come	appears	probably	true	be
w65	d362	urge someone	push someone	lit	lit	scam	spoof	transactions	email	solicits
w19	d362	urge someone	push someone	lit	lit	describes	email	scam	spoof	transactions
w3	d362	urge someone	push someone	lit	lit	email	payment	financial	account	program
w15	d362	urge someone	push someone	lit	lit	solicits	scam	program	spoof	transactions
w66	d362	urge someone	push someone	lit	lit	program	transactions	buyers	sellers	email
w9	d362	urge someone	push someone	lit	lit	true	email	solicits	financial	transactions
w67	d362	urge someone	push someone	lit	lit	describes	appears	solicits	scam	spoof
w68	d362	urge someone	push someone	lit	lit	deal	website	used car trader	scam	spoof
w24	d276	attract worker	suck worker	met	lit	depends	which	sells	forms	develops
w1	d276	attract worker	suck worker	met	lit	free	power	engaged	capital	sells
w69	d276	attract worker	suck worker	met	lit	depends	sells	divided	division	forms
w25	d276	attract worker	suck worker	met	met	divided	chain	hierarchy	develops	link
w70	d276	attract worker	suck worker	met	lit	exploitation	sells	divided	fragmentation	hierarchy
w3	d276	attract worker	suck worker	met	lit	capitalism	production	development	labour	market
w71	d276	attract worker	suck worker	met	lit	itself	divided	work	labor	class
w72	d276	attract worker	suck worker	met	lit	exploitation	working	labour	productive	competition
w9	d276	attract worker	suck worker	met	met	exploitation	sells	fragmentation	chain	hierarchy
w40	d276	attract worker	suck worker	met	met	hieracrchy	free	sells	power	chain
w35	d270	instill doubt	sow doubt	met	lit	factories	shipyards	coalfields	workers	trade union
w1	d270	instill doubt	sow doubt	met	lit	shipyards	coalfields	try	they	mislead
w73	d270	instill doubt	sow doubt	met	lit	mislead	deceptions	lies	active	hide
w2	d270	instill doubt	sow doubt	met	lit	members	group	mislead	hide	go
w3	d270	instill doubt	sow doubt	met	lit	members	group	active	factories	union
w36	d270	instill doubt	sow doubt	met	met	cunning	black	red	hide	cunning
w5	d270	instill doubt	sow doubt	met	lit	members	union	workers	among	coalfields
w33	d270	instill doubt	sow doubt	met	lit	members	factories	active	workers	deception
w72	d270	instill doubt	sow doubt	met	lit	members	active	dangerous	factories	aims
w74	d270	instill doubt	sow doubt	met	met	deception	lies	black aims	"""red"" talk"	dangerous
w1	d410	forget trouble	drown trouble	lit	met	and	nature	that	he	shall
w2	d410	forget trouble	drown trouble	lit	lit	cold	watch	november	morning	slept
w3	d410	forget trouble	drown trouble	lit	met	sin	perhaps	godalming	poor	dear
w75	d410	forget trouble	drown trouble	lit	lit	cold	nature	insists	daylight	says
w66	d410	forget trouble	drown trouble	lit	lit	cold	daylight	wake	slept	motning
w16	d410	forget trouble	drown trouble	lit	met	cold	watch	broad	daylight	wake
w28	d410	forget trouble	drown trouble	lit	met	perhaps	insists	goodness	good	peacefully
w9	d410	forget trouble	drown trouble	lit	lit	beginning	insists	goodness	broad	peacefully
w76	d410	forget trouble	drown trouble	lit	met	alliteration	idioms	onomatopoeia	personification	similes
w48	d410	forget trouble	drown trouble	lit	met	perhaps	beginning	upon	some	insists
w24	d738	misinterpret word	twist word	lit	lit	master	termed	executing	techniques	thought
w1	d738	misinterpret word	twist word	lit	lit	laws	leverage	footwork	forth	what
w30	d738	misinterpret word	twist word	lit	lit	failure	master	perfection	philosophy	leverage
w55	d738	misinterpret word	twist word	lit	lit	leverage	termed	ignorance	requires	system
w2	d738	misinterpret word	twist word	lit	lit	laws	failure	executing	system	death
w19	d738	misinterpret word	twist word	lit	lit	ignorance	executing	perfection	philosophy	leverage
w3	d738	misinterpret word	twist word	lit	met	leverage	ignorance	philosophy	enter	dragon
w43	d738	misinterpret word	twist word	lit	lit	leverage	position	balance	footwork	techniques
w27	d738	misinterpret word	twist word	lit	lit	failure	having	that	continued	untimely
w16	d738	misinterpret word	twist word	lit	lit	failure	leverage	balance	techniques	philosophy
w1	d135	stimulate debate	fuel debate	lit	lit	link	activities	to	the	how
w77	d135	stimulate debate	fuel debate	lit	lit	framework	pay system	developed	we	undertaken
w41	d135	stimulate debate	fuel debate	lit	lit	framework	proposed	progression	actual	develop
w14	d135	stimulate debate	fuel debate	lit	lit	identified	developed	framework	development	activities
w33	d135	stimulate debate	fuel debate	lit	met	framework	developed	new	improving	profiles
w66	d135	stimulate debate	fuel debate	lit	lit	work	staff	training	national	competency
w78	d135	stimulate debate	fuel debate	lit	lit	framework	progression	staff	activities	educational
w79	d135	stimulate debate	fuel debate	lit	lit	framework	developed	descriptions	initiative	development
w53	d135	stimulate debate	fuel debate	lit	lit	system	training	employed	framework	staff
w68	d135	stimulate debate	fuel debate	lit	lit	new profiles	new job descriptions	new skills	supportive framework	new training directory
w24	d573	invest money	pour money	lit	lit	treatable	account	having	effect	example
w1	d573	invest money	pour money	lit	met	disease	thought	child	deaths	world
w55	d573	invest money	pour money	lit	lit	malaria	tuberculosis	diseases	development	estimated
w41	d573	invest money	pour money	lit	lit	wholly-treatable	deaths	developing	tragedy	support
w3	d573	invest money	pour money	lit	lit	hiv	aids	tuberculosis	tragedy	disease
w36	d573	invest money	pour money	lit	lit	disease	deaths	kills	diseases	spread
w16	d573	invest money	pour money	lit	lit	malaria	disease	deaths	tuberculosis	development
w9	d573	invest money	pour money	lit	lit	malaria	treatable	account	tragedy	development
w80	d573	invest money	pour money	lit	lit	child	deaths	halting	hiv	aids
w10	d573	invest money	pour money	lit	lit	25%	countries	1999	halting	2015
w24	d476	view represent	view reflect	met	lit	policy	views	example	views	characteristic
w1	d476	view represent	view reflect	met	lit	echoed	children	response	with	their
w3	d476	view represent	view reflect	met	lit	public	policy	employment	response	business
w36	d476	view represent	view reflect	met	lit	echoed	views	clear	said	characteristic
w44	d476	view represent	view reflect	met	met	echoed	clearly	response	ought	rather
w81	d476	view represent	view reflect	met	lit	echoed	clearly	response	views	characteristic
w71	d476	view represent	view reflect	met	lit	striking	balance	helping	children	hours
w16	d476	view represent	view reflect	met	lit	policy	balance	employment	business	culture
w9	d476	view represent	view reflect	met	lit	policy	employment	response	example	characteristic
w47	d476	view represent	view reflect	met	lit	public	policy	parents	working	helping
w24	d124	colour match	colour harmonise	met	lit	should	when	find	offering	example
w12	d124	colour match	colour harmonise	met	lit	paint	easel	maintain	variety	consider
w1	d124	colour match	colour harmonise	met	lit	muddy	over	from	paint	not
w3	d124	colour match	colour harmonise	met	lit	yellow	yesterday	choice	shadows	green
w43	d124	colour match	colour harmonise	met	lit	easel	child	consider	maintain	staff
w15	d124	colour match	colour harmonise	met	lit	approaches	beginning	consider	maintain	choice
w66	d124	colour match	colour harmonise	met	lit	yellow	paint	easel	shades	green
w67	d124	colour match	colour harmonise	met	met	yellow	should	be	yellow	shades
w53	d124	colour match	colour harmonise	met	lit	consider	beginning	visiting	staff	maintain
w18	d124	colour match	colour harmonise	met	lit	should	approaches	even	need	consider
w1	d193	determine result	shape result	lit	lit	think	us	started	with	and
w3	d193	determine result	shape result	lit	lit	arrangement	scheme	sheets	precisely	areas
w42	d193	determine result	shape result	lit	lit	scheme	arrangement	evidently	defined	symmetrical
w43	d193	determine result	shape result	lit	lit	scheme	southwards	sheets	defined	symmetrical
w78	d193	determine result	shape result	lit	lit	scheme	look	evidently	overlab	maps
w21	d193	determine result	shape result	lit	lit	worked	evidently	defined	entirely	precisely
w71	d193	determine result	shape result	lit	lit	close	look	adjoining	overlap	alone
w8	d193	determine result	shape result	lit	lit	scheme	started	landranger	behaviour	londoncentric
w28	d193	determine result	shape result	lit	met	make	think	scheme	stupid	helpful
w68	d193	determine result	shape result	lit	lit	scheme	worked	symmetrical	adjoining	londoncentric
w1	d663	recall feeling	recapture feeling	met	lit	ran	about	anchored	moving	also
w19	d663	recall feeling	recapture feeling	met	met	being	anchored	feel	catching	moonbeams
w3	d663	recall feeling	recapture feeling	met	met	catching	moonbeams	anchored	wondering	feel
w43	d663	recall feeling	recapture feeling	met	met	relaxation	flow	anchored	catching	moonbeams
w62	d663	recall feeling	recapture feeling	met	met	wondering	figured	granted	relaxation	moonbeams
w8	d663	recall feeling	recapture feeling	met	met	someone	mentioned	catching	moonbeams	hope
w82	d663	recall feeling	recapture feeling	met	met	think	anchored	feel	granted	wondering
w83	d663	recall feeling	recapture feeling	met	met	firgured	grant3ed	lose	catching	moonbeams
w53	d663	recall feeling	recapture feeling	met	met	hope	wondering	think	often	mentioned
w18	d663	recall feeling	recapture feeling	met	lit	ran	out	at	end	moving
w24	d486	improve economy	boost economy	met	lit	will	help	get	have	decide
w1	d486	improve economy	boost economy	met	lit	forecast	think	would	most	be
w3	d486	improve economy	boost economy	met	lit	earnings	tax	policies	economy	forecasts
w36	d486	improve economy	boost economy	met	met	try	click	panel	model	navigation
w84	d486	improve economy	boost economy	met	lit	earnings	polices	economy	model	forcast
w71	d486	improve economy	boost economy	met	met	present	virtual	model	bar	panel
w67	d486	improve economy	boost economy	met	lit	click	either	navigation	look	decide
w85	d486	improve economy	boost economy	met	lit	people	forecasts	keep	model	top
w54	d486	improve economy	boost economy	met	met	ill	why	either	or	decide
w48	d486	improve economy	boost economy	met	lit	click	panel	'model'	navigation	forecasts
w24	d105	cause excitement	stir excitement	met	lit	work	sat	homeowners	died	statement
w1	d105	cause excitement	stir excitement	met	lit	new	jersey	silver	point	sale
w86	d105	cause excitement	stir excitement	met	lit	painting	hired	sale	appraiser	basement
w69	d105	cause excitement	stir excitement	met	met	comb	rembrandt -in- disguise	stick	show	sat
w3	d105	cause excitement	stir excitement	met	lit	homeowners	property	valuables	interest	statement
w42	d105	cause excitement	stir excitement	met	lit	furthermore	new jersey	residence	artwork	property
w7	d105	cause excitement	stir excitement	met	lit	rembrandt	appraiser	statement	interest	painting
w72	d105	cause excitement	stir excitement	met	lit	homeowners	adult	property	appraiser	inquiries
w87	d105	cause excitement	stir excitement	met	lit	years	sat	old	died	prior
w57	d105	cause excitement	stir excitement	met	lit	comb	residence	visit	furniture	sale
w35	d532	fate be	fate lie	lit	met	blamed	unfair	sometimes	when	community
w1	d532	fate be	fate lie	lit	lit	a	lot	of	activist	that
w88	d532	fate be	fate lie	lit	lit	age	who	unfair	people	i
w25	d532	fate be	fate lie	lit	met	hoped	sense	unfair	heroic	begging
w3	d532	fate be	fate lie	lit	lit	activists	alienates	community	anti-discrimination	time
w89	d532	fate be	fate lie	lit	met	blamed	activists	meaningless	begging	anit-discrimination
w7	d532	fate be	fate lie	lit	lit	activists	racism	alienates	anti	discrimination
w67	d532	fate be	fate lie	lit	met	who	blamed	shout	passing	community
w79	d532	fate be	fate lie	lit	lit	blamed	activists	racism	alienates	begging
w48	d532	fate be	fate lie	lit	met	lots	heroic	unfair	meaningless	discrimination
w1	d134	colour match	colour harmonise	lit	lit	i	also	papers	and	original
w30	d134	colour match	colour harmonise	lit	lit	i'm	printing	paper	shipped	printer
w19	d134	colour match	colour harmonise	lit	lit	printing	tried	understand	calibration	topic
w3	d134	colour match	colour harmonise	lit	lit	printing	semigloss	papers	calibration	monitor
w42	d134	colour match	colour harmonise	lit	lit	printing	semigloss	epson	profiles	calibration
w15	d134	colour match	colour harmonise	lit	lit	xrite	semigloss	cast	calibration	gammut
w61	d134	colour match	colour harmonise	lit	lit	epson	semigloss	cast	calibration	gammut
w16	d134	colour match	colour harmonise	lit	lit	printing	epson	paper	printer	calibration
w7	d134	colour match	colour harmonise	lit	lit	epson	xrite	srgb	{}	{}
w23	d134	colour match	colour harmonise	lit	lit	i'm	using	shipped	new	accurate
w24	d137	corrupt mind	poison mind	met	lit	do	involved	means	strengthen	keep
w1	d137	corrupt mind	poison mind	met	lit	what	also	means	selves	bring
w25	d137	corrupt mind	poison mind	met	lit	literally	mean	means	organise	propaganda
w3	d137	corrupt mind	poison mind	met	lit	anti-war	movement	unity	initiative	troops
w36	d137	corrupt mind	poison mind	met	met	literally	embodied	battle	hearts	minds
w4	d137	corrupt mind	poison mind	met	lit	anti-war	movement	unity	troops	propaganda
w27	d137	corrupt mind	poison mind	met	lit	mean	what	can	for	literallly
w66	d137	corrupt mind	poison mind	met	met	movement	unity	hearts	minds	propaganda
w72	d137	corrupt mind	poison mind	met	lit	anti-war	government	movement	organise	propaganda
w85	d137	corrupt mind	poison mind	met	met	now	unity	battle	hearts	minds
w24	d323	attract worker	suck worker	lit	lit	build	make	work	seeking	legalize
w90	d323	attract worker	suck worker	lit	lit	language	skills	work	calculation	industries
w1	d323	attract worker	suck worker	lit	met	and	make	sense	work	to
w91	d323	attract worker	suck worker	lit	lit	legalise	economy	calculation	labor	industries
w3	d323	attract worker	suck worker	lit	lit	savings	english	language	skills	legalise
w36	d323	attract worker	suck worker	lit	lit	savings	skills	work	families	economy
w44	d323	attract worker	suck worker	lit	lit	build	up	make	sense	calculation
w38	d323	attract worker	suck worker	lit	lit	savings	language	sense	calculation	legalise
w8	d323	attract worker	suck worker	lit	met	move	is	much	more	uncertain
w9	d323	attract worker	suck worker	lit	lit	savings	sense	calculation	effect	industries
w24	d142	organise production	mount production	met	lit	is	caused	treated	winning	launched
w35	d142	organise production	mount production	met	lit	playwrights	mainstream	critics	award	career
w1	d142	organise production	mount production	met	met	office	box	year	mainstream	debut
w41	d142	organise production	mount production	met	lit	succesful	mainstream	treated	popular	acclaim
w3	d142	organise production	mount production	met	lit	successful	box	office	performances	career
w42	d142	organise production	mount production	met	lit	successful	playwright	broadway	drama	critic
w43	d142	organise production	mount production	met	lit	mainstream	critics	popular	performances	career
w46	d142	organise production	mount production	met	lit	playwrights	mainstream	critics	acclaim	performances
w7	d142	organise production	mount production	met	lit	playwrights	mainstream	broadway	hopkins	award
w28	d142	organise production	mount production	met	met	most	perhaps	mainstream	scantily	popular
w92	d779	practise profession	follow profession	lit	lit	organizations	management	qualified	studied	right
w35	d779	practise profession	follow profession	lit	lit	financial	management	business	work	accountants
w1	d779	practise profession	follow profession	lit	lit	them	work	qualified	retailers	football
w49	d779	practise profession	follow profession	lit	lit	advice	services	work	accountants	qualification
w3	d779	practise profession	follow profession	lit	lit	government	business	manufacturers	airlines	financial
w52	d779	practise profession	follow profession	lit	lit	organisations	financial	advice	accountants	qualified
w46	d779	practise profession	follow profession	lit	lit	organization	advice	governments	accountancy	professional
w38	d779	practise profession	follow profession	lit	lit	accountancy	work	levels	professionally	advice
w39	d779	practise profession	follow profession	lit	lit	accountants	professional	qualification	services	levels
w48	d779	practise profession	follow profession	lit	lit	organisations	services	do	levels	qualified
w24	d726	cause excitement	stir excitement	met	lit	took	taken	been	liked	thought
w1	d726	cause excitement	stir excitement	met	lit	see	hanging	flannel	see	toothpaste
w93	d726	cause excitement	stir excitement	met	lit	took	taken	flanel	toothpaste	watch
w3	d726	cause excitement	stir excitement	met	met	drives	icecream	cinema	sick	excitement
w15	d726	cause excitement	stir excitement	met	lit	drives	cinema	excitement	thought	dressing
w89	d726	cause excitement	stir excitement	met	lit	was	excitement	hanging	lying	edge
w81	d726	cause excitement	stir excitement	met	lit	kind	drives	excitement	flannel	toothpaste
w94	d726	cause excitement	stir excitement	met	lit	took	would	thought	taken	go
w7	d726	cause excitement	stir excitement	met	lit	cinema	excitement	toothpaste	watch	bathroom
w72	d726	cause excitement	stir excitement	met	lit	cinema	bathroom	flannel	toothpaste	dressing-gown
w12	d256	fate be	fate lie	lit	lit	enable	purchase	retrospective	councils	democracy
w1	d256	fate be	fate lie	lit	lit	reason	our	enhance	will	power
w19	d256	fate be	fate lie	lit	lit	authorities	will	applicant	centralisation	democracy
w3	d256	fate be	fate lie	lit	lit	local	applicant	authorities	policy	government
w15	d256	fate be	fate lie	lit	lit	compulsorily	breach	retrospective	policy	democracy
w6	d256	fate be	fate lie	lit	lit	refuse	land	council	government	county
w37	d256	fate be	fate lie	lit	lit	compulsorily	retrospective	purchase	enhance	centralisation
w7	d256	fate be	fate lie	lit	lit	authorities	policy	government	applicant	law
w9	d256	fate be	fate lie	lit	lit	purchase	breach	retrospective	permission	policy
w95	d256	fate be	fate lie	lit	lit	policy	rural	district	country	democracy
w11	d188	pose question	frame question	met	met	europe	comprehensive	westminster	achieved	warrent
w1	d188	pose question	frame question	met	lit	for	to	public	records	issued
w13	d188	pose question	frame question	met	lit	comprehensive	warrant	authorised	surveys	public records
w3	d188	pose question	frame question	met	lit	authoised	achieved	public	records	data
