WorkerId	DiscourseId	Input.Expression.Lit	Input.Expression.Met	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit
w9	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w10	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w6	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w11	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w13	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w2	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w14	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w12	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w3	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w16	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w7	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w15	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	met
w4	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w5	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w1	d108	get potentially infectious diseases	catch potentially infectious diseases	get disease	catch disease	met	lit
w6	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w4	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w1	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w18	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w7	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w10	d795	war has displaced	war has uprooted	war displace	war uproot	lit	met
w12	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w14	d795	war has displaced	war has uprooted	war displace	war uproot	lit	met
w15	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w13	d795	war has displaced	war has uprooted	war displace	war uproot	lit	met
w9	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w2	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w3	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w5	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w11	d795	war has displaced	war has uprooted	war displace	war uproot	lit	lit
w17	d791	get many diseases	catch many diseases	get disease	catch disease	met	lit
w3	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w5	d791	get many diseases	catch many diseases	get disease	catch disease	met	lit
w2	d791	get many diseases	catch many diseases	get disease	catch disease	met	lit
w11	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w6	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w12	d791	get many diseases	catch many diseases	get disease	catch disease	met	lit
w4	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w10	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w9	d791	get many diseases	catch many diseases	get disease	catch disease	met	lit
w19	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w1	d791	get many diseases	catch many diseases	get disease	catch disease	met	lit
w13	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w14	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w15	d791	get many diseases	catch many diseases	get disease	catch disease	met	met
w12	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	met
w15	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	met
w6	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w3	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w7	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	met
w4	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	met
w5	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w13	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w9	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w1	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w17	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w2	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w14	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	lit
w10	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	met
w11	d666	war in Tajikistan had displaced	war in Tajikistan had uprooted	war displace	war uproot	lit	met
w13	d999	instilled new life	breathed new life	instill life	breathe life	met	lit
w1	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w4	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w2	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w15	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w7	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w9	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w6	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w14	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w10	d999	instilled new life	breathed new life	instill life	breathe life	met	lit
w11	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w12	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w3	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w8	d999	instilled new life	breathed new life	instill life	breathe life	met	lit
w5	d999	instilled new life	breathed new life	instill life	breathe life	met	met
w11	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w3	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w2	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	met
w6	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w13	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w5	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	met
w9	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	met
w17	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w12	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w8	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	met
w10	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w4	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	met
w7	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w14	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	lit
w1	d441	will ever saturate the market	will ever flood the market	saturate market	flood market	lit	met
w10	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w2	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w3	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	met
w7	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w6	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	met
w8	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w1	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w11	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w12	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w9	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w13	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	met
w14	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	lit
w5	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	met
w15	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	met
w4	d307	understand the meaning	grasp the meaning	understand meaning	grasp meaning	lit	met
w13	d874	urging him	pushing him	urge someone	push someone	lit	met
w12	d874	urging him	pushing him	urge someone	push someone	lit	met
w3	d874	urging him	pushing him	urge someone	push someone	lit	lit
w2	d874	urging him	pushing him	urge someone	push someone	lit	lit
w6	d874	urging him	pushing him	urge someone	push someone	lit	lit
w9	d874	urging him	pushing him	urge someone	push someone	lit	lit
w17	d874	urging him	pushing him	urge someone	push someone	lit	lit
w8	d874	urging him	pushing him	urge someone	push someone	lit	met
w7	d874	urging him	pushing him	urge someone	push someone	lit	lit
w14	d874	urging him	pushing him	urge someone	push someone	lit	lit
w11	d874	urging him	pushing him	urge someone	push someone	lit	lit
w5	d874	urging him	pushing him	urge someone	push someone	lit	lit
w4	d874	urging him	pushing him	urge someone	push someone	lit	lit
w10	d874	urging him	pushing him	urge someone	push someone	lit	lit
w1	d874	urging him	pushing him	urge someone	push someone	lit	lit
w1	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w14	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w7	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w10	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w6	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w9	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w3	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w4	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w2	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w13	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w11	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w5	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w15	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	met
w8	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w12	d579	caused quite an excitement	stirred quite an excitement	cause excitement	stir excitement	lit	lit
w14	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w4	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w3	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w1	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w6	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w9	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w11	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w7	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w5	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w16	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w20	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w21	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w10	d233	story never intrigues	story never grabs	story intrigue	story grab	met	met
w13	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w2	d233	story never intrigues	story never grabs	story intrigue	story grab	met	lit
w1	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w11	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	lit
w6	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w4	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w13	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w9	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	lit
w16	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w2	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	lit
w7	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w15	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	lit
w14	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w12	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	lit
w10	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	lit
w3	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w5	d111	distinctions have disappeared	distinctions have blurred	distinction disappear	distinction blur	lit	met
w2	d935	examples show	examples illustrate	example show	example illustrate	lit	lit
w12	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w4	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w1	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w11	d935	examples show	examples illustrate	example show	example illustrate	lit	lit
w5	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w3	d935	examples show	examples illustrate	example show	example illustrate	lit	lit
w10	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w15	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w19	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w9	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w7	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w13	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w14	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w6	d935	examples show	examples illustrate	example show	example illustrate	lit	met
w14	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w10	d900	views do not represent	views do not reflect	view represent	view reflect	lit	lit
w5	d900	views do not represent	views do not reflect	view represent	view reflect	lit	lit
w9	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w4	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w18	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w12	d900	views do not represent	views do not reflect	view represent	view reflect	lit	lit
w1	d900	views do not represent	views do not reflect	view represent	view reflect	lit	lit
w2	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w22	d900	views do not represent	views do not reflect	view represent	view reflect	lit	lit
w11	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w3	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w13	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w7	d900	views do not represent	views do not reflect	view represent	view reflect	lit	lit
w6	d900	views do not represent	views do not reflect	view represent	view reflect	lit	met
w5	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w4	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w15	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w14	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w3	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w11	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w17	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w13	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w7	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w12	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w1	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w6	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	met
w2	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w9	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w10	d14	causes excitement	stirs excitement	cause excitement	stir excitement	met	lit
w13	d893	result appears	result emerges	result appear	result emerge	met	met
w15	d893	result appears	result emerges	result appear	result emerge	met	met
w3	d893	result appears	result emerges	result appear	result emerge	met	lit
w5	d893	result appears	result emerges	result appear	result emerge	met	lit
w4	d893	result appears	result emerges	result appear	result emerge	met	lit
w14	d893	result appears	result emerges	result appear	result emerge	met	met
w2	d893	result appears	result emerges	result appear	result emerge	met	met
w12	d893	result appears	result emerges	result appear	result emerge	met	met
w10	d893	result appears	result emerges	result appear	result emerge	met	met
w11	d893	result appears	result emerges	result appear	result emerge	met	met
w1	d893	result appears	result emerges	result appear	result emerge	met	met
w6	d893	result appears	result emerges	result appear	result emerge	met	met
w8	d893	result appears	result emerges	result appear	result emerge	met	lit
w17	d893	result appears	result emerges	result appear	result emerge	met	lit
w9	d893	result appears	result emerges	result appear	result emerge	met	met
w6	d836	organise two major productions	mount two major productions	organise production	mount production	met	met
w12	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w9	d836	organise two major productions	mount two major productions	organise production	mount production	met	met
w1	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w10	d836	organise two major productions	mount two major productions	organise production	mount production	met	met
w21	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w5	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w4	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w17	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w14	d836	organise two major productions	mount two major productions	organise production	mount production	met	met
w13	d836	organise two major productions	mount two major productions	organise production	mount production	met	met
w7	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w18	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w3	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w2	d836	organise two major productions	mount two major productions	organise production	mount production	met	lit
w15	d62	example shows	example illustrates	example show	example illustrate	met	met
w23	d62	example shows	example illustrates	example show	example illustrate	met	met
w6	d62	example shows	example illustrates	example show	example illustrate	met	lit
w3	d62	example shows	example illustrates	example show	example illustrate	met	met
w10	d62	example shows	example illustrates	example show	example illustrate	met	met
w9	d62	example shows	example illustrates	example show	example illustrate	met	lit
w2	d62	example shows	example illustrates	example show	example illustrate	met	met
w17	d62	example shows	example illustrates	example show	example illustrate	met	met
w4	d62	example shows	example illustrates	example show	example illustrate	met	met
w1	d62	example shows	example illustrates	example show	example illustrate	met	met
w13	d62	example shows	example illustrates	example show	example illustrate	met	met
w5	d62	example shows	example illustrates	example show	example illustrate	met	lit
w12	d62	example shows	example illustrates	example show	example illustrate	met	met
w7	d62	example shows	example illustrates	example show	example illustrate	met	lit
w14	d62	example shows	example illustrates	example show	example illustrate	met	met
w24	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w25	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	lit
w5	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w26	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w27	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	lit
w28	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w29	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w13	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w30	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w31	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w11	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w32	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	met
w33	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	lit
w34	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	lit
w35	d917	distinction disappears	distinction blurs	distinction disappear	distinction blur	lit	lit
w33	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w5	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w27	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w29	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w24	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w32	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w31	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w35	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w34	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w13	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w25	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w11	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w30	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	lit
w3	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w28	d500	have organised numerous productions	have mounted numerous productions	organise production	mount production	met	met
w31	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w25	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w28	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w5	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w11	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w24	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w29	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w27	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w30	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w33	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w32	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w3	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w13	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w34	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	met
w35	d694	caused doubts	cast doubts	cause doubt	cast doubt	lit	lit
w13	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w27	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	lit
w5	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w29	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w31	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w28	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	lit
w32	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w36	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w25	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	lit
w35	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w33	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	lit
w30	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w34	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	lit
w11	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w24	d472	disclosed an official report	leaked an official report	disclose report	leak report	met	met
w32	d133	reading a book	devouring a book	read book	devour book	lit	lit
w11	d133	reading a book	devouring a book	read book	devour book	lit	met
w34	d133	reading a book	devouring a book	read book	devour book	lit	lit
w3	d133	reading a book	devouring a book	read book	devour book	lit	met
w27	d133	reading a book	devouring a book	read book	devour book	lit	met
w25	d133	reading a book	devouring a book	read book	devour book	lit	lit
w31	d133	reading a book	devouring a book	read book	devour book	lit	met
w35	d133	reading a book	devouring a book	read book	devour book	lit	lit
w5	d133	reading a book	devouring a book	read book	devour book	lit	lit
w28	d133	reading a book	devouring a book	read book	devour book	lit	met
w29	d133	reading a book	devouring a book	read book	devour book	lit	met
w24	d133	reading a book	devouring a book	read book	devour book	lit	met
w13	d133	reading a book	devouring a book	read book	devour book	lit	met
w30	d133	reading a book	devouring a book	read book	devour book	lit	lit
w33	d133	reading a book	devouring a book	read book	devour book	lit	met
w13	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	met
w11	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	met
w32	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	lit
w30	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	met
w31	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	met
w28	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	met
w35	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	met
w29	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	lit
w25	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	lit
w27	d982	was attracting workers	was sucking workers	attract worker	suck worker	met	lit
