DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Discourse.MetLit	Abstr.all	Abstr.N	Abstr.V	Abstr.ADJ	Emotionality	Emotion	List.Words
d740	example show	example illustrate	met	lit	2.58	2.69	2.79	2.39	2.16	Joy	['plans', 'laid', 'leading', 'use', 'guidance', 'the', 'next', 'system', 'to', 'help', 'adoption', 'supersede', 'leading', 'invaluable', 'guidance', 'e-learning', 'programme', 'international', 'collaboration', 'infrasctructure', 'access', 'management', 'system', 'institutions', 'infrastructures', 'plans', 'adoption', 'system', 'guidance', 'collaboration', 'plans', 'shibboleth', 'management', 'system', 'infrastructures', 'shibboleth', 'institutions', 'collaboration', 'infrastructures', 'jisc', 'adoption', 'generation', 'invaluable', 'collaboration', 'infrastructions', 'next-generation', 'supersede', 'invaluable', 'collaboration', 'infrastructures']
d362	urge someone	push someone	lit	lit	2.93	3.52	2.35	2.11	2.21	Joy	['mind', 'solicits', 'information', 'clearly', 'described', 'come', 'appears', 'probably', 'true', 'be', 'scam', 'spoof', 'transactions', 'email', 'solicits', 'describes', 'email', 'scam', 'spoof', 'transactions', 'email', 'payment', 'financial', 'account', 'program', 'solicits', 'scam', 'program', 'spoof', 'transactions', 'program', 'transactions', 'buyers', 'sellers', 'email', 'true', 'email', 'solicits', 'financial', 'transactions', 'describes', 'appears', 'solicits', 'scam', 'spoof', 'deal', 'website', 'used car trader', 'scam', 'spoof']
d276	attract worker	suck worker	met	lit	2.93	3.07	3.17	2.34	2.21	Joy	['depends', 'which', 'sells', 'forms', 'develops', 'free', 'power', 'engaged', 'capital', 'sells', 'depends', 'sells', 'divided', 'division', 'forms', 'divided', 'chain', 'hierarchy', 'develops', 'link', 'exploitation', 'sells', 'divided', 'fragmentation', 'hierarchy', 'capitalism', 'production', 'development', 'labour', 'market', 'itself', 'divided', 'work', 'labor', 'class', 'exploitation', 'working', 'labour', 'productive', 'competition', 'exploitation', 'sells', 'fragmentation', 'chain', 'hierarchy', 'hieracrchy', 'free', 'sells', 'power', 'chain']
d270	instill doubt	sow doubt	met	lit	3.05	3.37	2.77	3.04	2.12	Joy	"['factories', 'shipyards', 'coalfields', 'workers', 'trade union', 'shipyards', 'coalfields', 'try', 'they', 'mislead', 'mislead', 'deceptions', 'lies', 'active', 'hide', 'members', 'group', 'mislead', 'hide', 'go', 'members', 'group', 'active', 'factories', 'union', 'cunning', 'black', 'red', 'hide', 'cunning', 'members', 'union', 'workers', 'among', 'coalfields', 'members', 'factories', 'active', 'workers', 'deception', 'members', 'active', 'dangerous', 'factories', 'aims', 'deception', 'lies', 'black aims', '""red"" talk', 'dangerous']"
d738	misinterpret word	twist word	lit	lit	2.45	2.52	2.43	2.0	2.24	Joy	['master', 'termed', 'executing', 'techniques', 'thought', 'laws', 'leverage', 'footwork', 'forth', 'what', 'failure', 'master', 'perfection', 'philosophy', 'leverage', 'leverage', 'termed', 'ignorance', 'requires', 'system', 'laws', 'failure', 'executing', 'system', 'death', 'ignorance', 'executing', 'perfection', 'philosophy', 'leverage', 'leverage', 'ignorance', 'philosophy', 'enter', 'dragon', 'leverage', 'position', 'balance', 'footwork', 'techniques', 'failure', 'having', 'that', 'continued', 'untimely', 'failure', 'leverage', 'balance', 'techniques', 'philosophy']
d135	stimulate debate	fuel debate	lit	lit	2.76	3.08	2.63	2.34	2.3	Joy	['link', 'activities', 'to', 'the', 'how', 'framework', 'pay system', 'developed', 'we', 'undertaken', 'framework', 'proposed', 'progression', 'actual', 'develop', 'identified', 'developed', 'framework', 'development', 'activities', 'framework', 'developed', 'new', 'improving', 'profiles', 'work', 'staff', 'training', 'national', 'competency', 'framework', 'progression', 'staff', 'activities', 'educational', 'framework', 'developed', 'descriptions', 'initiative', 'development', 'system', 'training', 'employed', 'framework', 'staff', 'new profiles', 'new job descriptions', 'new skills', 'supportive framework', 'new training directory']
d573	invest money	pour money	lit	lit	3.1	3.18	2.83	2.67	2.53	Joy	['treatable', 'account', 'having', 'effect', 'example', 'disease', 'thought', 'child', 'deaths', 'world', 'malaria', 'tuberculosis', 'diseases', 'development', 'estimated', 'wholly-treatable', 'deaths', 'developing', 'tragedy', 'support', 'hiv', 'aids', 'tuberculosis', 'tragedy', 'disease', 'disease', 'deaths', 'kills', 'diseases', 'spread', 'malaria', 'disease', 'deaths', 'tuberculosis', 'development', 'malaria', 'treatable', 'account', 'tragedy', 'development', 'child', 'deaths', 'halting', 'hiv', 'aids', '25%', 'countries', '1999', 'halting', '2015']
d476	view represent	view reflect	met	lit	2.98	3.05	2.87	2.9	2.4	Joy	['policy', 'views', 'example', 'views', 'characteristic', 'echoed', 'children', 'response', 'with', 'their', 'public', 'policy', 'employment', 'response', 'business', 'echoed', 'views', 'clear', 'said', 'characteristic', 'echoed', 'clearly', 'response', 'ought', 'rather', 'echoed', 'clearly', 'response', 'views', 'characteristic', 'striking', 'balance', 'helping', 'children', 'hours', 'policy', 'balance', 'employment', 'business', 'culture', 'policy', 'employment', 'response', 'example', 'characteristic', 'public', 'policy', 'parents', 'working', 'helping']
d124	colour match	colour harmonise	met	lit	3.09	3.53	2.56	4.24	2.29	Joy	['should', 'when', 'find', 'offering', 'example', 'paint', 'easel', 'maintain', 'variety', 'consider', 'muddy', 'over', 'from', 'paint', 'not', 'yellow', 'yesterday', 'choice', 'shadows', 'green', 'easel', 'child', 'consider', 'maintain', 'staff', 'approaches', 'beginning', 'consider', 'maintain', 'choice', 'yellow', 'paint', 'easel', 'shades', 'green', 'yellow', 'should', 'be', 'yellow', 'shades', 'consider', 'beginning', 'visiting', 'staff', 'maintain', 'should', 'approaches', 'even', 'need', 'consider']
d193	determine result	shape result	lit	lit	2.49	2.46	2.51	2.82	2.14	Joy	['think', 'us', 'started', 'with', 'and', 'arrangement', 'scheme', 'sheets', 'precisely', 'areas', 'scheme', 'arrangement', 'evidently', 'defined', 'symmetrical', 'scheme', 'southwards', 'sheets', 'defined', 'symmetrical', 'scheme', 'look', 'evidently', 'overlab', 'maps', 'worked', 'evidently', 'defined', 'entirely', 'precisely', 'close', 'look', 'adjoining', 'overlap', 'alone', 'scheme', 'started', 'landranger', 'behaviour', 'londoncentric', 'make', 'think', 'scheme', 'stupid', 'helpful', 'scheme', 'worked', 'symmetrical', 'adjoining', 'londoncentric']
d663	recall feeling	recapture feeling	met	met	2.81	3.27	2.81	-	2.57	Joy	['ran', 'about', 'anchored', 'moving', 'also', 'being', 'anchored', 'feel', 'catching', 'moonbeams', 'catching', 'moonbeams', 'anchored', 'wondering', 'feel', 'relaxation', 'flow', 'anchored', 'catching', 'moonbeams', 'wondering', 'figured', 'granted', 'relaxation', 'moonbeams', 'someone', 'mentioned', 'catching', 'moonbeams', 'hope', 'think', 'anchored', 'feel', 'granted', 'wondering', 'firgured', 'grant3ed', 'lose', 'catching', 'moonbeams', 'hope', 'wondering', 'think', 'often', 'mentioned', 'ran', 'out', 'at', 'end', 'moving']
d486	improve economy	boost economy	met	lit	3.11	3.76	2.57	2.17	2.21	Joy	"['will', 'help', 'get', 'have', 'decide', 'forecast', 'think', 'would', 'most', 'be', 'earnings', 'tax', 'policies', 'economy', 'forecasts', 'try', 'click', 'panel', 'model', 'navigation', 'earnings', 'polices', 'economy', 'model', 'forcast', 'present', 'virtual', 'model', 'bar', 'panel', 'click', 'either', 'navigation', 'look', 'decide', 'people', 'forecasts', 'keep', 'model', 'top', 'ill', 'why', 'either', 'or', 'decide', 'click', 'panel', ""'model'"", 'navigation', 'forecasts']"
d105	cause excitement	stir excitement	met	lit	3.47	3.53	3.68	2.81	2.53	Joy	['work', 'sat', 'homeowners', 'died', 'statement', 'new', 'jersey', 'silver', 'point', 'sale', 'painting', 'hired', 'sale', 'appraiser', 'basement', 'comb', 'rembrandt -in- disguise', 'stick', 'show', 'sat', 'homeowners', 'property', 'valuables', 'interest', 'statement', 'furthermore', 'new jersey', 'residence', 'artwork', 'property', 'rembrandt', 'appraiser', 'statement', 'interest', 'painting', 'homeowners', 'adult', 'property', 'appraiser', 'inquiries', 'years', 'sat', 'old', 'died', 'prior', 'comb', 'residence', 'visit', 'furniture', 'sale']
d134	colour match	colour harmonise	lit	lit	3.28	3.85	2.7	2.26	1.99	Joy	"['i', 'also', 'papers', 'and', 'original', ""i'm"", 'printing', 'paper', 'shipped', 'printer', 'printing', 'tried', 'understand', 'calibration', 'topic', 'printing', 'semigloss', 'papers', 'calibration', 'monitor', 'printing', 'semigloss', 'epson', 'profiles', 'calibration', 'xrite', 'semigloss', 'cast', 'calibration', 'gammut', 'epson', 'semigloss', 'cast', 'calibration', 'gammut', 'printing', 'epson', 'paper', 'printer', 'calibration', 'epson', 'xrite', 'srgb', '{}', '{}', ""i'm"", 'using', 'shipped', 'new', 'accurate']"
d323	attract worker	suck worker	lit	lit	2.67	2.77	2.93	1.88	2.5	Joy	['build', 'make', 'work', 'seeking', 'legalize', 'language', 'skills', 'work', 'calculation', 'industries', 'and', 'make', 'sense', 'work', 'to', 'legalise', 'economy', 'calculation', 'labor', 'industries', 'savings', 'english', 'language', 'skills', 'legalise', 'savings', 'skills', 'work', 'families', 'economy', 'build', 'up', 'make', 'sense', 'calculation', 'savings', 'language', 'sense', 'calculation', 'legalise', 'move', 'is', 'much', 'more', 'uncertain', 'savings', 'sense', 'calculation', 'effect', 'industries']
d142	organise production	mount production	met	lit	2.65	3.39	2.21	1.94	2.41	Joy	['is', 'caused', 'treated', 'winning', 'launched', 'playwrights', 'mainstream', 'critics', 'award', 'career', 'office', 'box', 'year', 'mainstream', 'debut', 'succesful', 'mainstream', 'treated', 'popular', 'acclaim', 'successful', 'box', 'office', 'performances', 'career', 'successful', 'playwright', 'broadway', 'drama', 'critic', 'mainstream', 'critics', 'popular', 'performances', 'career', 'playwrights', 'mainstream', 'critics', 'acclaim', 'performances', 'playwrights', 'mainstream', 'broadway', 'hopkins', 'award', 'most', 'perhaps', 'mainstream', 'scantily', 'popular']
d779	practise profession	follow profession	lit	lit	2.7	2.79	2.82	2.33	2.24	Joy	['organizations', 'management', 'qualified', 'studied', 'right', 'financial', 'management', 'business', 'work', 'accountants', 'them', 'work', 'qualified', 'retailers', 'football', 'advice', 'services', 'work', 'accountants', 'qualification', 'government', 'business', 'manufacturers', 'airlines', 'financial', 'organisations', 'financial', 'advice', 'accountants', 'qualified', 'organization', 'advice', 'governments', 'accountancy', 'professional', 'accountancy', 'work', 'levels', 'professionally', 'advice', 'accountants', 'professional', 'qualification', 'services', 'levels', 'organisations', 'services', 'do', 'levels', 'qualified']
d726	cause excitement	stir excitement	met	lit	3.61	4.11	2.96	2.97	2.52	Joy	['took', 'taken', 'been', 'liked', 'thought', 'see', 'hanging', 'flannel', 'see', 'toothpaste', 'took', 'taken', 'flanel', 'toothpaste', 'watch', 'drives', 'icecream', 'cinema', 'sick', 'excitement', 'drives', 'cinema', 'excitement', 'thought', 'dressing', 'was', 'excitement', 'hanging', 'lying', 'edge', 'kind', 'drives', 'excitement', 'flannel', 'toothpaste', 'took', 'would', 'thought', 'taken', 'go', 'cinema', 'excitement', 'toothpaste', 'watch', 'bathroom', 'cinema', 'bathroom', 'flannel', 'toothpaste', 'dressing-gown']
d256	fate be	fate lie	lit	lit	2.66	2.84	2.51	2.05	2.13	Joy	['enable', 'purchase', 'retrospective', 'councils', 'democracy', 'reason', 'our', 'enhance', 'will', 'power', 'authorities', 'will', 'applicant', 'centralisation', 'democracy', 'local', 'applicant', 'authorities', 'policy', 'government', 'compulsorily', 'breach', 'retrospective', 'policy', 'democracy', 'refuse', 'land', 'council', 'government', 'county', 'compulsorily', 'retrospective', 'purchase', 'enhance', 'centralisation', 'authorities', 'policy', 'government', 'applicant', 'law', 'purchase', 'breach', 'retrospective', 'permission', 'policy', 'policy', 'rural', 'district', 'country', 'democracy']
d188	pose question	frame question	met	lit	3.02	3.87	-	2.07	2.12	Joy	['europe', 'comprehensive', 'westminster', 'achieved', 'warrent', 'for', 'to', 'public', 'records', 'issued', 'comprehensive', 'warrant', 'authorised', 'surveys', 'public records', 'authoised', 'achieved', 'public', 'records', 'data', 'volume', 'atlas', 'surveys', 'records', 'data', 'comprehensive', 'achieved', 'authorised', 'enquiries', 'mapping', 'volume', 'atlas', 'plans', 'cosmographer', 'standard', 'plan', 'atlas', 'surveys', 'enquiries', 'data', 'volumes', 'comprehensive', 'enquiries', 'records', 'mapping', 'comprehensive', 'data', 'standard', 'atlas', 'enquiries']
d650	have smile	wear smile	met	met	3.02	3.2	3.23	2.18	2.29	Joy	['showered', 'hiss', 'howled', 'praised', 'glazed', 'rogue', 'hiss', 'made', 'intent', 'act', 'mythic', 'wench', 'rogue', 'howled', 'glazed', 'showered', 'hiss', 'howled', 'unicornian', 'peered', 'show', 'rogue', 'act', 'mythic', 'praised', 'showered', 'rogue', 'hiss', 'resplendent', 'unicornian', 'breeches', 'showered', 'rogue', 'unicornian', 'mythic', 'hiss', 'unicornian', 'mythic', 'resplendent', 'codpiece', 'breeches', 'contempt', 'howled', 'silk', 'gold', 'hiss of the arrow', 'sorely howled', 'unicornian codpiece', 'mythic trout', 'eyes glazed']
d837	invest money	pour money	met	lit	2.69	3.02	2.66	1.9	2.17	Joy	['make', 'continue', 'work', 'support', 'accounted', 'responsibility', 'infrastructure', 'political', 'parties', 'election', 'that', 'expenses', 'are', 'required', 'accounted', 'responsibility', 'infrastructure', 'electoral', 'commission', 'democratic', 'politics', 'infrastructure', 'support', 'money', 'election', 'politics', 'political', 'parties', 'campaigning', 'elections', 'responsibility', 'infrastructure', 'independant', 'recognizing', 'resources', 'infrastructure', 'explore', 'support', 'dramatic', 'targeted', 'infrastructure', 'democratic', 'political', 'expenses', 'accounted', 'political', 'infrastructure', 'commission', 'elections', 'expenses']
d786	address question	tackle question	lit	lit	2.75	2.74	2.77	3.63	2.17	Joy	['issue', 'we', 'construct', 'accomodates', 'provides', 'that', 'is', 'beginning', 'process', 'changing', 'model', 'various', 'accommodates', 'sample', 'construct', 'emerging', 'modelling', 'development', 'processes', 'system', 'construct', 'system', 'business', 'digital', 'client', 'issue', 'relates', 'affects', 'context', 'understanding', 'business', 'characteristics', 'development', 'information', 'functional', 'models', 'construct', 'systems', 'work', 'capture', 'system', 'context', 'work', 'development', 'information', 'construct', 'system', 'development', 'designs', 'sample']
d225	reject past	disown past	met	lit	2.92	2.44	3.42	1.93	2.15	Joy	['dance', 'punk', 'funk', 'service', 'issued', 'propulsive', 'gorgeous', 'driving', 'keen', 'funk', 'hit', 'greatest', 'cover', 'remains', 'recordings', 'issued', 'cover', 'force', 'recordings', 'suggested', 'issued', 'reissue', 'remains', 'driving', 'force', 'dance', 'hit', 'funk', 'issued', 'reissue', '1981', 'propulsive', 'housed', 'reissue', 'unlikely', 'issued', 'housed', 'cover', 'reissue', 'suggested', 'in', 'was', 'remains', 'what', 'suggested', 'propulsive', 'marine', 'issued', 'crepuscule', 'reissue']
d795	war displace	war uproot	lit	lit	3.19	3.31	2.9	2.43	2.42	Joy	['famine', 'aid', 'and', 'relief', 'of', 'food', 'supplies', 'containers', 'flour', 'beans', 'shortages', 'victims', 'drought', 'war', 'famine', 'food', 'relief', 'drought', 'monitor', 'response', 'million', 'shortages', 'emergency', 'shipping', 'response', 'million', 'mercy', 'corps', 'war', 'horn', 'emergency', 'shipment', 'includes', 'assessment', 'distribution', 'shortages', 'rushing', 'aid', 'includes', 'planned', 'million', '3,000', 'people', 'assessment', 'distribution', 'severe', 'shortages', 'emergency', 'drought', 'assessment']
d482	colour match	colour harmonise	lit	lit	3.54	3.54	4.17	1.56	2.04	Joy	['brush parameters', '1 to 51 pixels', 'square brush', 'the brush delta', 'narrow feature', 'size', 'number', 'pixels', 'match', 'width', 'brush', 'places', 'several', 'used', 'that', 'parameters', 'shape', 'pixelsdelta', 'mouse', 'possible', 'parameters', 'appears', 'brush', 'size', 'possible', 'paramenters', 'value', 'pixel', 'brush', 'square', 'pixels', 'centre', 'middle', 'measure', 'colour', 'mouse', 'pixel', 'delta', 'feature', 'press', 'measure', 'square', 'centre', 'edge', 'possible', 'brush', 'parameters', 'measure', 'pixels', 'paint']
d411	manage job	juggle job	lit	lit	3.03	3.84	2.95	2.02	2.33	Joy	['charlie', 'born', 'raised', 'joining', 'available', 'contacted', 'message', 'available', 'previously', 'bracknell', 'knows', 'return', 'previously', 'contacted', 'local', 'contacted', 'police', 'calling', 'worked', 'joining', 'contacted', 'message', 'return', 'worked', 'joined', 'enquiry', 'call', 'worked', 'available', 'constable', 'contacted', 'available', 'policed', 'worked', 'knows', 'contacted', 'calling', 'message', 'raised', 'worked', 'contacted', 'calling', 'duty', 'constable', 'special', 'enquiry', 'available', 'policed', 'local', 'constable']
d385	urge someone	push someone	met	lit	2.95	3.81	3.06	2.81	2.33	Joy	['promoters', 'area', 'started', 'perform', 'party', 'back', 'mostly', 'rehearse', 'what', 'most', 'started', 'happen', 'work', 'party', 'preparing', 'happen', 'promoters', 'work', 'most', 'preparing', 'started', 'happen', 'perform', 'rehearse', 'work', 'started', 'hanging', 'focused', 'started', 'perform', 'work', 'new', 'york', 'area', 'perform', 'i', 'happen', 'met', 'started', 'called', 'hanging', 'out', 'things', 'perform', 'who', 'getting', 'more', 'work', 'rehearse', 'preparing']
d700	fate be	fate lie	lit	lit	2.72	2.86	2.84	2.46	2.27	Joy	['invasion', 'conquest', 'muslims', 'loss', 'fear', 'historian', 'notes', 'constant', 'conquest', 'taken', 'historian', 'europe', 'assimilation', 'christianity', 'provinces', 'threat', 'invasion', 'conquest', 'taken', 'loss', 'historian', 'europe', 'threat', 'invasion', 'provinces', 'years', 'threat', 'not', 'only', 'fear', 'historian', 'centuries', 'invasion', 'conquest', 'loss', 'deeply', 'rooted', 'europe', 'christianity', 'threat', 'easternmost', 'christian', 'christianity', 'heightened', 'similar', 'converts', 'rulers', 'threat', 'assimilation', 'conversion']
d520	painting represent	painting capture	lit	lit	3.44	4.04	2.78	3.12	2.4	Joy	['made', 'latter', 'aboriginal', 'painting', 'bought', 'gallery', 'artist', 'lecturer', 'painting', 'community', 'gallery', 'artist', 'lecturer', 'curator', 'bought', 'century', 'aboriginal', 'painting', 'artist', 'australian', 'made', 'paintings', 'here', 'bought', 'at', 'made', 'artist', 'here', 'collected', 'bought', 'made', 'aboriginal', 'bark', 'here', 'painting', 'century', 'painting', 'lecturer', 'collected', 'bought', 'made at the latter', 'end of the nineteenth century', 'aboriginal', 'lecturer/curator', 'museum', 'made', 'nineteenth', 'century', 'aboriginal', 'culture']
d187	war displace	war uproot	met	lit	2.63	3.05	2.19	2.32	2.22	Joy	['stationed', 'taken', 'reviewing', 'determine', 'effect', 'in', 'addition', 'government', 'i', 'took', 'hope', 'preserve', 'recording', 'effect', 'self-guided', 'saigon', 'pictures', 'government', 'reviewing', 'presentation', 'stationed', 'government', 'civilians', 'determine', 'presentation', 'stationed', 'taken', 'reviewing', 'relevance', 'preserve', 'documentary', 'history', 'cultural', 'preserve', 'period', 'hope', 'preserve', 'documentary', 'probably', 'was', 'documentary', 'protfolio', 'i', 'underlying', 'recording', 'government', 'civilians', 'portfolio', 'documentary', 'multimedia']
d33	result appear	result emerge	lit	lit	3.07	3.15	2.18	-	2.37	Joy	['officials', 'inclusion', 'development', 'fund', 'project', 'hoping', 'use', 'stressed', 'been', 'is', 'inclusion', 'fund', 'results', 'start', 'project', 'china', 'instant', 'project', 'ceo', 'malcolm', 'officials', 'inclusion', 'development', 'project', 'illusion', 'acc', 'icc', 'ceo', 'illusion', 'olympic', 'development', 'funds', 'results', 'china', 'project', 'cricket', 'china', 'development', 'results', 'project', 'officials', 'roots', 'olympic', 'results', 'project', 'officials', 'hoping', 'games', 'inclusion', 'expect']
d739	result appear	result emerge	lit	lit	2.99	3.24	2.32	2.14	2.1	Joy	['hardware', 'processor', 'pipelined', 'encryption', 'results', 'registers', 'inputs', 'interfacing', 'processor', 'encrypted', 'nios', 'hardware', 'development', 'uart', 'pios', 'complexity', 'development', 'algorithm', 'encryption', 'value', 'nios', 'replaced', 'fig', '1', 'shows', 'was', 'used', 'are', 'clocked', 'registers', 'algorithm', 'hardware', 'complexity', 'development', 'building', 'considerable', 'constructed', 'fig.', 'encrypted', 'development', 'purely', 'values', 'period', 'development', 'considerable', 'pre-constructed', 'hardware', 'design', 'pipelined', 'version']
d639	drink alcohol	abuse alcohol	lit	met	2.6	3.1	2.33	1.68	2.46	Joy	"['it', 'would', 'that', 'guardians', 'these', 'furnishes', 'designed', 'guardians', 'smoking', 'richly', 'furnishes', 'designed', 'pleasure', 'guardians', 'prohibited', 'timothy', 'bible', 'god', 'he', 'scriptures', 'rishly', 'furnishes', 'pleasure', 'morality', 'guardians', 'bible', 'god', 'scripture', '{}', '{}', '""richly furnishes us with everything to enjoy""', 'self-appointed guardians', 'evangelical morality', 'ought to be', 'bible', 'bible', 'tells', 'us', 'evangelical', 'morality', 'furnishes', 'evangelical morality', 'prohibited', 'self appointed', 'scriptures', 'approves', 'designed', 'certain', 'specifically', 'examples']"
