DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Expression.MetLit	Discourse.Median.MetLit	Discourse.MetLit
d638	instill life	breathe life	lit	met	3.0	lit
d639	drink alcohol	abuse alcohol	lit	lit	4.0	met
d645	instill life	breathe life	lit	met	4.0	met
d647	experience freedom	taste freedom	met	lit	5.0	met
d648	get disease	catch disease	lit	met	3.0	lit
d650	have smile	wear smile	met	met	4.0	met
d653	instill life	breathe life	lit	met	4.0	met
d660	make remark	throw remark	met	lit	4.0	met
d669	cause excitement	stir excitement	met	met	3.5	met
d671	read book	devour book	met	lit	4.5	met
d677	address question	tackle question	lit	lit	2.0	lit
d678	war displace	war uproot	met	lit	3.5	met
d681	solve problem	attack problem	met	lit	3.0	lit
d682	fire destroy	fire devour	lit	lit	3.0	lit
d701	manage job	juggle job	met	met	4.0	met
d703	cause doubt	cast doubt	met	met	3.0	lit
d713	tension increase	tension mount	lit	met	4.0	met
d717	cause doubt	cast doubt	met	met	2.0	lit
d718	attract worker	suck worker	met	lit	4.0	met
d729	determine result	shape result	lit	lit	4.0	met
d731	invest money	pour money	lit	lit	4.0	met
d734	distinction disappear	distinction blur	met	met	3.0	lit
d736	read book	devour book	lit	lit	4.0	met
d744	pose question	frame question	lit	lit	4.0	met
d745	fire destroy	fire devour	lit	lit	3.0	lit
d748	practise profession	follow profession	met	lit	3.0	lit
d749	forget trouble	drown trouble	met	met	4.0	met
d750	story intrigue	story grab	met	met	4.0	met
d751	decrease appetite	dull appetite	met	met	4.0	met
d753	reject past	disown past	lit	met	4.0	met
d760	end agreement	break agreement	met	met	4.0	met
d767	believe story	buy story	met	met	3.0	lit
d768	discuss idea	float idea	lit	lit	4.0	met
d770	painting represent	painting capture	lit	met	3.0	lit
d771	factor affect	factor shape	lit	lit	4.0	met
d772	view represent	view reflect	met	lit	4.0	met
d773	read book	devour book	lit	lit	4.0	met
d775	address question	tackle question	met	lit	4.0	met
d776	invest money	pour money	lit	met	3.5	met
d778	tension increase	tension mount	lit	lit	4.0	met
d789	moon appear	moon peep	met	lit	4.0	met
d793	attract worker	suck worker	met	lit	4.0	met
d795	war displace	war uproot	lit	lit	4.0	met
d801	corrupt mind	poison mind	lit	lit	4.0	met
d802	make remark	throw remark	lit	lit	5.0	met
d804	solve problem	attack problem	lit	lit	4.0	met
d810	distinction disappear	distinction blur	met	lit	3.0	lit
d811	disclose report	leak report	lit	lit	3.0	lit
d816	invest money	pour money	met	lit	4.0	met
d818	instill life	breathe life	met	met	4.0	met
d826	invest money	pour money	lit	lit	4.0	met
d828	experience freedom	taste freedom	met	lit	4.0	met
d829	forget trouble	drown trouble	lit	lit	4.0	met
d830	mess show	mess reflect	met	met	4.0	met
d833	instill life	breathe life	lit	met	3.0	lit
d837	invest money	pour money	met	lit	2.0	lit
d839	disclose report	leak report	met	met	2.0	lit
d841	have smile	wear smile	met	met	4.0	met
d843	believe story	buy story	met	lit	4.0	met
d847	cause doubt	cast doubt	met	met	4.0	met
d848	instill doubt	sow doubt	lit	lit	4.0	met
d849	fire destroy	fire devour	lit	lit	3.5	met
d858	mess show	mess reflect	lit	met	5.0	met
d859	attract worker	suck worker	lit	lit	4.0	met
d860	drink alcohol	abuse alcohol	met	met	4.0	met
d862	view represent	view reflect	met	met	4.0	met
d864	solve problem	attack problem	met	lit	4.0	met
d866	invest money	pour money	met	met	3.0	lit
d868	painting represent	painting capture	met	met	3.0	lit
d870	recall feeling	recapture feeling	lit	met	4.0	met
d872	mess show	mess reflect	met	met	4.0	met
d874	urge someone	push someone	lit	lit	3.0	lit
d875	sell drug	push drug	lit	lit	4.0	met
d878	cause doubt	cast doubt	met	met	3.0	lit
d884	story intrigue	story grab	lit	lit	4.0	met
d890	reject past	disown past	met	met	4.0	met
d892	example show	example illustrate	lit	met	3.0	lit
d898	fate be	fate lie	lit	met	3.0	lit
d899	painting represent	painting capture	lit	met	3.0	lit
d901	fate be	fate lie	lit	met	3.5	met
d904	disclose report	leak report	lit	lit	3.0	lit
d907	fate be	fate lie	met	met	3.5	met
d911	invest money	pour money	lit	lit	3.5	met
d925	instill doubt	sow doubt	met	met	4.0	met
d935	example show	example illustrate	lit	met	4.0	met
d939	address question	tackle question	lit	lit	4.0	met
d945	war displace	war uproot	lit	lit	4.0	met
d946	understand meaning	grasp meaning	lit	lit	5.0	met
d953	decrease appetite	dull appetite	met	lit	3.0	lit
d954	end agreement	break agreement	met	met	4.0	met
d962	example show	example illustrate	lit	met	2.5	lit
d969	sell drug	push drug	lit	met	4.0	met
d970	pose question	frame question	lit	lit	3.0	lit
d972	distinction disappear	distinction blur	lit	lit	4.0	met
d975	pose question	frame question	lit	lit	4.0	met
d976	moon appear	moon peep	lit	lit	4.0	met
d983	attract worker	suck worker	met	lit	3.0	lit
d985	painting represent	painting capture	met	met	4.0	met
d990	drink alcohol	abuse alcohol	met	met	4.0	met
d992	recall feeling	recapture feeling	met	lit	3.0	lit
d999	instill life	breathe life	met	met	3.0	lit
