DiscourseId	Discourse
d21	Authority's remedy, if you spent too much time out of the stream in one year, was to keep you back a class. But this would mean ructions in the family, whose shaky economic viability depended on your starting work the day after your 14th birthday. Socially too, the stigma of having attended school into your 15th year could follow you to the grave ('Thick as champ when he was wee'). But even being cast up in an isolation ward in Purdysburn Fever for three weeks could provide some items of 'experience and knowledge', the accumulation of which the O.E.D. quotes as essential to the acquisition of Wisdom. For instance, I would never again be able to visit a zoo without being physically sick, [...]
d22	Yes, unrestricted submarine warfare by the German Navy would be scrupulously examined. No, the obliteration of German cities by the Allied air forces was not relevant. 'Crimes against Humanity' would be treated in the same way. The mass killing of subject races by the Germans would come under the microscope, but not the Katyn massacre or the dropping of the Atomic Bomb on Japan. But you would be wrong if you thought that the obvious double-standards of the original trials [...]
d23	Extremely powerful high-temperature detergents clean fuel injectors. Lubricants significantly lengthen injector and pump life and reduce ring friction which is very important for today's low-sulfur fuel. Both Red Line Diesel Fuel Catalyst and 85 Plus are available as a winterized version which will reduce the pour point of a typical fuel by 25F. Diesel Fuel Catalyst Contains powerful high temperature detergents, lubricants and a combustion catalyst. This catalyst reduces smoke dramatically, reduces detonation, and [...]
d24	"Each year I attend a musical production put on by Bedford Modern School, I come away saying ""They will never beat this one!  - and each year I am proved wrong! This year it was ""My Fair Lady"" and it was a triumph! Nick Brooks, as Professor Higgins, and Matt Burt, as Colonel Pickering, were superb in their roles, both quite demanding ones, as they are on stage for much of the two and a half hour production. Elie Middleton, as Eliza Doolittle excelled, as did Doug Penman as Alfred Doolittle. How Helen Rees-Bidder (director) and John Mower (Musical director) manage to [...]"
d25	"Businesses that support upward mobility for selected managerial women while relying on a disempowered female workforce may earn praise from liberal feminists, but they do little to satisfy more radical feminist critiques. The feminism I speak from is more radical because it finds the existing power structures unacceptable no matter who is at the helm. It is informed primarily by two competing impulses: one to create a ""woman centered"" understanding of the world and a contrary one to deconstruct the distinction between margin and center. The relation between the two is complex, full of tension and opportunity. Both impulses [...]"
d26	Through the programme students gain a critical awareness of current scholarship in selected fields of comparative theatrical theory and performance history, as well as a comprehensive understanding of the techniques and methods required to pursue independent research in the discipline. By the time they complete the MA, students have thorough knowledge of their chosen specialist field of research in theatre history and/or performance theory, and the critical and evaluative skills to define an individual path of further research. Students work one-to-one with their supervisor, and in small research groups. The programme develops high-level skills in research methodologies, including using bibliographical, archive and research resources. Individual guidance allows students to [...]
d27	This Bootle character does not seem to realise that Japan will never recover (irrespective of the exchange rate) until it introduces structural reform! It is Japans domestic economy that is the problem - not the export element. In particular, Japan needs to sort out its banking crisis. Reform of the banking system would cause considerable short-term pain, as a result of job losses from consolidations and closures. However, it is the only way for Japan to [...]
d28	This sector is more likely to address packaging change than any other industry, which is to be expected in light of the EC's Directive on Packaging. The White Paper 'This Common Inheritance' has set a target to divert 50 per cent of recyclable household waste away from landfill by the year 2000; at the moment just 14 per cent is recycled. A total of 65 per cent of companies have made some changes to minimise the use of packaging, and of those who produce paper and card, 90 per cent recycle it. However, if the food and retailing industry is to meet government targets for recycling, it needs to find markets for this material. These potential markets are supplied by France and Germany which [...]
d29	At this moment a young man addressed me, and announcing himself as the son of Mrs. Audley, the lady with whom I was henceforth to live, led me to the boat which waited at the side of the vessel; and a short journey brought us to Clifton and the cottage where Mrs. Audley resided. How vividly the thoughts and feeling which crowded that night about my pillow rise upon my memory! I think it is not saying too much of that natural instinct which attracts us to one person and repels us from another, when I call it infallible. There is truth and certainty in our first impressions; we are so much the creatures of habit, so much governed in our opinions by the opinions of others, we so rarely begin to think till our thoughts are already biassed, that our intuitive perception of good and evil, and consequently of friend and foe, is utterly neglected. If, in forming our attachments, instead of repeating what we have heard, we [...]
d30	David Harcourt took out the patent in 1835 for the first automatic press and almost a hundred years later the same machine was still in use in the family's manufactory. Until the nineteenth century casting was the usual method used by brassfounders, which involved pouring molten copper alloys into moulds. Braziers, a separate trade, wrought goods by hand from sheet brass. Both had their own guilds or companies established in 14th century London. Birmingham was not a guild town, and, therefore [...]
d31	Dr Ken Dark is an archaeologist and a Lecturer in Politics at the University of Reading Photography, [...] Now here's an odd thing. Photographic books about ancient sites and monuments are rare enough, and here are two arriving at once, with almost the same title, covering much the same ground. Many of the same sites appear in both books. Both, however, are welcome. A fine photograph has unparallelled power to [...]
d32	It is true indeed that not a sparrow drops unnoticed by the Mind of THE ALL - that even the hairs on our head are numbered, as the scriptures have said. There is nothing outside of Law; nothing that happens contrary to it. And yet, do not make the mistake of supposing that man is but a blind automaton - far from that. The Hermetic Teachings are that man may use Law to overcome laws, and that the higher will always prevail against the lower, until at last he has reached the stage in which he seeks refuge in the LAW itself, and laughs the phenomenal laws to scorn. Are you able to [...]
d33	Cricket officials are also hoping that once the game takes firm roots in China, they can push cricket's case for inclusion in the Olympic Games. Half of the ¬£200,000 comes from the ACC development fund and the rest by the ICC's use of a special fund. ICC CEO Malcolm Speed, now on a tour of the country along with Huq, stressed that people should not expect instant results in China. There's been a very good start in China. This is a 10-year project and no one should be under any illusion that [...]
d34	These groups of people may have a diet that is not meeting their nutritional requirements and may benefit from vitamin supplements: Elderly people, particularly those who live on their own, may find it harder to make healthy meals, and may wish to top up their vitamin intake with a multivitamin supplement. Older people who don't get much sun because they are housebound or covered up for most of the year are advised to take a supplement that includes ten micrograms of vitamin D each day. Vegetarians and vegans - consider taking vitamin supplements to replace those that are found in meat and dairy products, particularly if it's not possible to substitute meat with high-protein foods such as pulses and beans. People who are chronically ill. People who [...]
d35	Examinations and certification There is no compulsory examination at the end of primary education nor, in most Länder, at the end of compulsory, full-time lower secondary education. However, there are leaving certificates from some types of lower secondary school, which grant access to certain types of upper secondary education. The main academic qualification on completion of upper secondary education is the Abitur, which allows successful students to progress to higher education. Successful completion of many of the vocational courses offered in full-time vocational schools at upper secondary level either enables students to enter higher education or to [...]
d36	A scale model of a room and a normal size DML were used to carry out physical measurements. The results support the case that DML and conventional cone loudspeakers excite the modal sound field differently. Predictions were obtained using analytical models that represent the acoustic response of rectangular rooms to different source parameters and positioning. As a part of this work some analytical solutions have been suggested for the issue of distributed sources in rooms, more specifically for plates with simply supported boundaries. Figure 2: Bruno Fazenda at his computer. At a later stage, digital signal processing is used to create virtual rooms in order to study the subjective perception of various [...]
d37	The precise parameters of this right will unfold as further cases are brought. This could become an issue in relation to admission and exclusion decisions. It is likely, but not certain, that the requirement of Article 6, that bodies deciding matters of civil rights should provide a fair trial of the issue, applies to student disciplinary hearings. This requirement raises questions as to how far internal hearings should be public and the extent to which the decision-maker should be independent of the institution. The European Court of Human Rights cases show that where a person's right to [...]
d38	Why is Saddam Hussein pushing ahead with weapons of mass destruction if at some point he is not going to use them? It's certainly got to be a factor in all of this. Unlike anthrax, the bacteria used in last year's unsolved mail attacks, the highly contagious smallpox virus can be passed from person to person. The virus causes ugly pustules to form both on the skin and inside the mouth and throat. About a third of unvaccinated people who [...]
d39	In fact I pay the high prices to save a drunk thug causing a fight for the hell of it. mark from huddersfield : people are never happy. If new places opened and charged ¬£4 a pint no one would go and there whould probably be a message board on over priced drinks. People know there limits just because asda are selling beans at 6p instead of 36p people dont go home and eat six cans. Make the most of it. Nothing lasts for ever. Wayne from Marsden now : I also think this is a non-issue. Students are uprooted, and have to make friends - how many casual conversations have been struck up in a Starbucks etc. If people want to [...]
d40	We are not 100% sure if he was a tyrant technically, perhaps he was a chief or governor which may have got him off the hook. He is acquitted. The most likely explanation is because of his story about trying to trick the Persians in Scythia. It is possible that this story is not true, as who could have witnessed the events of the Scythian campaign in Athens apart from Miltiades? So the Athenians [...]
d41	That may well be a time of doubt and questioning; but that doubt and questioning can be a very creative process. It may also be for us (as it must have been for John) a time of physical and mental suffering; but remember - our Lord meets us supremely on the cross when all is darkest and most difficult; and that is when we often find we know him most powerfully present with us - Listen to another prisoner. Lt Gerald Coffee was imprisoned by the Vietnamese for 7 years: During his second Christmas in that rotten hellhole of a camp he made an amazing discovery. He had been stripped of everything by which he measured his identity: rank , uniform, family, money. And yet, alone in a cramped three by seven foot cell, he began to [...]
d42	"The bassist and the banjoist then likened the ""call"" to a chorus or middle eight in a standard jazz structure (i.e. in a 24 bar standard - ABA - or a 32 bar standard - AABA - A is an 8 bar chorus and B is the middle eight, introducing a different melody). The tutor said this was not so, and again attempted to explain the ""call"". At this point the bassist accepted the explanation, but the banjoist continued to categorise it as a chorus, persistently attempting to fit this unfamiliar feature into an already known pattern. I had already come across it in African music and dance, where the lead drummer plays a similar repeated rhythmic phrase to signal a change of rhythm to the musicians and a change of step to the dancers. I therefore broke into the argument and attempted an explanation in these terms and one or two of the rest of the group made comments, so that the argument petered out and the tension was temporarily diffused, although the banjoist continued to [...]"
d43	Like in paragraph rules, long-short patterns are also effective in lines and stanzas. You may follow a long phrase with a fragment. Play with the dots. But use them reasonably. Punctuate to emphasize and to show. Ellipses, for example, can heighten and prolong emotions by giving the reader pause. It can [...]
d44	The population in western and central Europe has been shifting in the direction of diversity for the last seventy years, and that of the United States more or less consistently since the nation's founding. Along with diversity comes a complementary, if perhaps more gradual, shift in culture. Opposing this historical trend is the fact that anti-immigrant resistance among established national populations is almost a default position. There is ironic justice in this prospect. After all, the [...]
d45	General dental practitioners need to urgently carry out the advised dental treatment plan for these patients to avoid any delay of cancer treatment. If the preceding procedures have been completed, most patients will not need oral care during the course of their radiation therapy. However, continuing evaluation and supportive reinforcement is critical for these patients who will need to be seen in the Restorative Dentistry Oncology Clinic for dental evaluation and prosthodontic treatment if required, for management or amelioration and control of oral problems such as xerostomia, mucositis, opportunistic infection, nutritional difficulty. Radiation patients with head and neck cancer are at lifelong risk for oral disease as a result of their treatment. The possibility of tumour recurrence or persistence is significant, especially in those who continue to [...]
d46	Local responses also reflected varying local conditions and traditions of burial, often established over a long period. The epidemiology of the disease contributed to the problem: its rapid spread over short distances, its high case-fatality, the geometrical increase in weekly deaths once it had taken hold in an area, helped to concentrate most of the deaths in a parish in a relatively short period of time. The practice of shutting up whole households after one confirmed case may have increased local mortality, and also meant that the family could not take its usual share of responsibility for organizing and paying for burial - even had participation in funerals and processions not been restricted by the Plague Orders. An important [...]
d47	You really feel for the ship's resident stand-up guy, being swept aside to be replaced by new and more attractive ship entertainment, aka Cirque Fantastique. It makes the twist at the end all the more satisfying yet creepy... Thoughtful and Funny 14 Aug 2006 reviewer: Jonathan C, United Kingdom A great story about a stand up comic trying to hold on to his piece of show business. Stephen Frost captures the characture and is convincingly angry. His co-star matches him well. Sweeney's script spins a [...]
d48	The EU lives by principles which it holds sacrosanct, but which the peoples have never been asked to ratify. Secondly, in 1963, the jurisprudence of the European Court of Justice was concerned narrowly with the limited and technical fields of law necessary for the maintenance of the internal market. Within these strict confines, the supremacy of European law was arguably defensible. But as the years have passed, the EU has steadily enlarged its own areas of competence, even including competences which are the core of a sovereign state without reconsidering the principle of its legal supremacy. We cannot now hand over to Brussels yet more fields of jurisdiction without [...]
d49	From 1935 until his retirement in 1944 he was a Judge of the High Court, first in Gezira Province and then in Khartoum, from time to time acting as Chief Justice. From 1942 to 1944 he was also Judge Advocate General of the Sudan Defence Force. The most considerate of men, his patience and unfailing and esteem throughout the Sudan. It was in keeping with his high standards that he became an expert in the Arabic language, since this enabled him always to hear every case in the vernacular in fairness to the accused and to avoid any suspicion of misinterpretation. He was never satisfied until he had unravelled all the complications and misunderstandings surrounding a case and, if he had to inflict a heavy sentence, he invariably explained most carefully to the prisioner his right of appeal and indeed [...]
d50	Eighteen European countries, including Ireland, The Netherlands and Spain have no ban. Eight other European countries only ban some sentenced prisoners from voting. In France and Germany, courts have the power to impose loss of voting rights as an additional punishment. The UK, along with eight other countries including Bulgaria, Romania and Russia, is in a minority of European countries in automatically disenfranchising all sentenced prisoners. The ban on prisoners voting may [...]
d51	"Inverclyde Tourist Group is a community group that welcomes tourist ships calling at Ocean Terminal, Greenock, and encourages them to spend time in Inverclyde, thereby boosting the local economy. The group, which operates from a tented stall at the quayside, offers free guided trips to local tourist attractions and provides information on sporting, leisure and shopping opportunities in the area. With 15 cruise ships set to call this summer, that adds up to lot of work. But committee member Isabel Lamb explains that it's all for the benefit of the community. Community benefit ""We aim to [...]"
d52	"Second, I was deeply distressed by Craig's failure to grasp that, by including Irving in the conversation, he was according these ""obtuse and quickly discredited"" views a new found prominence and credibility. I worried, however, that if someone such as this highly respected scholar, who knew so much about the period, could be beguiled by Irving, how much easier it would be to beguile a jury of ten [ sic. twelve ] British citizens or even a British judge. Though he hoped Irving would drop the threat of a lawsuit, Julius counseled that we must proceed as if we would end up in court. When I asked Julius how we were going to fight this, he explained that there were a number of different options open to libel defendants. They could argue that the plaintiff [...]"
d53	Everyone enjoyed the chop but especially James, as it was his first paddle in conditions so rough, his eyes firmly fixed on the destination of our starting point. The maidens took on a totally different personality from the calm of the evening before. Skye's Cullin occasionally appeared through the mist and the fresh water burns rushed off the sea pink covered grass covered with rock rose, which contrasted against the grey sky like a Monet painting. Monet would have been confused by the changing character of light and conditions we experienced throughout the week. Photos hardly do it justice, [...]
d54	"Is there a need for some kind of compulsion? Or are there some other alternatives? In an editorial in the same issue of the THES, ILT proposals do not address the real concerns , it was suggested that one of the things needed in UK higher education is a ""professional body with the power to strike off those who are seriously deficient"". The implication of this is that membership of the body (perhaps the ILT) will be compulsory and that this body would have similar powers of dismissal to those enjoyed by bodies such as the Medical Council if the member is found to be seriously deficient (presumably in teaching!). Is there a system anywhere in the world in which a teacher, at any level, can be ""struck off"" and not be allowed to [...]"
d55	You must pay for all transactions made by any additional cardholder. This applies even if the additional cardholder makes you break this agreement. We may give any additional cardholder information about your account. You may only cancel any additional card by cutting it in half and, if we ask you to, by returning it to us. We may [...]
d56	Despite a formal contradiction between the parallels the actual meaning of the two versions is identical. We are assured that giving different versions of what Jesus said and when and why has no effect on reliability. I cannot think of any religious work which would not be reliable if people are allowed to present 'might-haves' and 'could-have-beens' as unchallenged explanations of problems. Perhaps you can come up with an error in the Qur'an or the Book of Mormon which cannot be fixed by the application of Blomberg's methods. All authors are reliable if, when they report letters and conversations which took place in secret, we suppose that there must have been a sympathiser who [...]
d57	"The latter was an innovation introduced by Henry Ford, and those techniques have therefore become collectively known as ""Fordism. The productivity of the great American enterprises rose spectacularly; for example, already in the twenties countless vehicles rolled off the assembly lines of the automobile factories of Michigan every single day. But who was supposed to buy all those cars? Most Americans at the time did not have sufficiently robust pocket books for such a purchase. Other industrial products similarly [...]"
d58	"A story of poverty, disease, displacement, and a vast global population of rural and urban poor without access to life's basic needs. In this time of development 2.6 billion of the world's population have nowhere safe to go to the toilet and 1.1 billion still do not have safe water to drink. In this brave new world a child is dying every 15 seconds from easily preventable water-related diseases. This pond water is so dirty and we cannot do anything about it,"" says Zenebech Jemel from Ethiopia, who walks many hours each day to collect water. Because of the water we [...]"
d59	It strengthens every dimension of the life of the church. And many of you men can be blessed by God and grateful to Him that your wife has grown and learned things from the Word of God which can enrich her own life and her relationship to you and your family. I praise God for that. I don't believe as the press tries to paint it and as people outside try to paint it that we have a whole lot of deprived women who are bound in a traditionalism that's not true to the contemporary mentality as I read about us in this and that. I believe that our women at Grace Community Church [...]
d60	Breeze snatched up the first thing she could find - her own mackintosh, which she had been wearing earlier in the day - and with one swift movement covered that smouldering sleeve with the thick material. As she dragged Susan's limp form away from the fire, she noticed with one part of her brain that a sheet of paper had just begun to burn. She saw that it was covered with badly printed words, amongst which 'Wellwisher' stood out. Just for an instant she saw it, and then the [...] 
d61	We all know how far, far short of fulfilling that great expectation we still are. Forgive me if I think first of all my fellow Africans, who are feeling the scourge of war today, even as we speak. The genocide in Rwanda and the subsequent conflicts in the Democratic Republic of the Congo have at least received worldwide publicity, even if far too little effective international action. But other wars, hardly less murderous, have been almost completely ignored. For instance: In Congo-Brazzaville, a conflict that has gone almost unnoticed by the world has claimed thousands of lives; in the first four months of this year alone, the renewal of civil [...]
d62	It does not measure up to care in the community standards. I know Highland Council is pushed and there is a big problem with funding but it is about time it gave up some of the politically- correct rubbish money is being spent on and concentrated on essential services, care for the elderly being one of them. Highland and Islands Tory MSP Mary Scanlon said the authority could be breaking the law under the Community Care Act 2001, which outlines services which should be provided locally. She added: ' I Highland Council does not have enough money it has to get more from the Scottish Executive or use the money it has more effectively. This [...]
d63	"When the chips are down the politicians won't have the stomach to fight, what's the point of looting if you won't be around to spend it. African conflicts are easy to predict because most conflicts in Africa are never truly resolved. Peace"" in most African countries is the lull between the end of the last conflict and the start of the next one. I've just finished reading 'Me Against My Brother', an excellent book by Scott Peterson. I wish a lot of Africans [...]"
d64	Known simply as ``the Bike Man,'' Stuecke ranked as the world's most-traveled man in the Guinness Book of Records between 1995 and 1999. Quiet Admiration There's a bit of Stuecke in all of us, which is why we find stories such as his so appealing. While most of us settle down to a job and family life, we also succumb to fleeting moments when we wonder whether it might not have been better just to cycle off into the horizon than spending another day paying the mortgage. When we read about men such as Stuecke, it is impossible not to admire their commitment to freedom and the open road. Yet the [...]
d65	Most blokes were ever happy just to go behind a tree - but folks elite would much prefer a toilet when they pee. But trees were rare on Doyley s plain, not one for fifty kays, whilst privacy behind a car was not part of their ways. The double-dunny Doyley owned, to most, was quite a treat, and lady-like, all dainty dames would have to have a seat. But duets on the dunny didn t favour everyone - except on odd occasions such as mother, daughter, son. Old Doyley was a crafty one and always loved a joke; he always [...]
d66	"I believe in DSU and what it does. Sometimes we don't get it right and we need and welcome guidence. Constructive remarks are always welcomed. If you think I am self important then all I have to say is ""I am whatever you say I am"". I am never going to change your opinion of me. If you think I am doing a bad job then come and tell me how to do a better one, but [...]"
d67	In Africa, the lives of women have not changed in a meaningful way. The women who spend eight hours a day gathering firewood are still doing that, women are still subjected to domestic violence, and employment of women remains limited to relatively few fields and relatively low jobs. Women and children are the ones who suffer most as a result of wars, political and ethnic conflicts. African women are subjected to specific constraints due to gender inequalities, and these constraints [...]
d68	Tobacco: Problems & Responses An International Conference The Watershed, Friday, November 28, 2003 Martin Plant, Professor of Addiction Studies in the University of the West of England, will be speaking at Tobacco: Problems and Challenges, an international conference organised by the University on 28 November 2003. He said: 'Teenage smoking will lead to massive health problems for the next generation. Young girls are more likely to smoke than are boys. Health promotion is important, but this alone is unlikely to curb cigarette smoking among the very young. We need to police tobacconists and other retailers and to impose heavy penalties on those selling tobacco to underage children and adolescents if we are to [...]
d69	Walter Scott was born on August 15, 1771 in College Wynd , Edinburgh. He was the ninth child of Walter Scott, Writer to the Signet, and Anne Rutherford, but five of his siblings had already died in infancy, and a sixth, Barbara, was to die when he was five months old. Scott's father was heir to a junior branch of the Scotts, a bellicose and litigious clan who since the tenth century had played a prominent role in the warfare and internecine strife that wracked the Border region. On his mother's side, he descended from the Haliburtons of Newmains who brought to the Scott family the hereditary right of burial in Dryburgh Abbey. Walter senior was the first of his family to move to Edinburgh and to [...]
d70	They seemed to process information differently to normal children, and seemed specifically impaired in extracting 'meaningful structure' from stimuli. For example, whereas the normal child can recall more information in a word list if the words are meaningful, children with autism seemed equally good at memory tasks whether the items to be recalled were meaningful or meaningless. This gave an important clue that when children with autism perceive the world, they might see it very differently from the rest of us. But how was this going to explain their uniquely social difficulties? A big impetus for autism research came from an unexpected direction: researchers in developmental psychology [...]
d71	When asked about inclusive attitudes when prior experience working with children with disabilities was a factor, preservice teachers were found to exhibithigh beliefs in positive academic progress of special needs students and a propensity for having little difficulty teaching students with cognitive deficits. Conclusion Globally, inclusive practices tend to vary in their degree of implementation. Often times the attitudes and beliefs regarding inclusion of students with disabilities in general education classrooms tend to either hinder or promote its success. Teachers worldwide seem to have mixed feelings about including students with disabilities in general education settings. Age and type of disability are consistent [...]
