WorkerId	DiscourseId	Expression.Lit	Expression.Met	Original.Expression	Category.MetLit
w5	d14	cause excitement	stir excitement	met	1
w1	d14	cause excitement	stir excitement	met	3
w13	d14	cause excitement	stir excitement	met	3
w8	d14	cause excitement	stir excitement	met	1
w4	d14	cause excitement	stir excitement	met	5
w6	d14	cause excitement	stir excitement	met	2
w16	d14	cause excitement	stir excitement	met	3
w11	d14	cause excitement	stir excitement	met	1
w7	d14	cause excitement	stir excitement	met	1
w12	d14	cause excitement	stir excitement	met	2
w2	d14	cause excitement	stir excitement	met	6
w15	d14	cause excitement	stir excitement	met	5
w10	d14	cause excitement	stir excitement	met	4
w12	d15	result appear	result emerge	met	1
w10	d15	result appear	result emerge	met	2
w1	d15	result appear	result emerge	met	5
w15	d15	result appear	result emerge	met	4
w4	d15	result appear	result emerge	met	1
w2	d15	result appear	result emerge	met	5
w16	d15	result appear	result emerge	met	3
w9	d15	result appear	result emerge	met	1
w13	d15	result appear	result emerge	met	1
w6	d15	result appear	result emerge	met	3
w8	d15	result appear	result emerge	met	1
w7	d15	result appear	result emerge	met	1
w11	d15	result appear	result emerge	met	1
w5	d15	result appear	result emerge	met	1
w14	d15	result appear	result emerge	met	1
w16	d16	view represent	view reflect	lit	4
w4	d16	view represent	view reflect	lit	4
w11	d16	view represent	view reflect	lit	1
w13	d16	view represent	view reflect	lit	2
w12	d16	view represent	view reflect	lit	5
w6	d16	view represent	view reflect	lit	5
w14	d16	view represent	view reflect	lit	3
w9	d16	view represent	view reflect	lit	4
w7	d16	view represent	view reflect	lit	1
w8	d16	view represent	view reflect	lit	1
w20	d16	view represent	view reflect	lit	4
w15	d16	view represent	view reflect	lit	2
w1	d16	view represent	view reflect	lit	5
w5	d16	view represent	view reflect	lit	1
w10	d16	view represent	view reflect	lit	3
w6	d17	attract worker	suck worker	lit	3
w14	d17	attract worker	suck worker	lit	1
w5	d17	attract worker	suck worker	lit	1
w7	d17	attract worker	suck worker	lit	1
w13	d17	attract worker	suck worker	lit	1
w16	d17	attract worker	suck worker	lit	1
w15	d17	attract worker	suck worker	lit	3
w12	d17	attract worker	suck worker	lit	2
w10	d17	attract worker	suck worker	lit	4
w17	d17	attract worker	suck worker	lit	4
w8	d17	attract worker	suck worker	lit	1
w9	d17	attract worker	suck worker	lit	2
w2	d17	attract worker	suck worker	lit	4
w1	d17	attract worker	suck worker	lit	3
w11	d17	attract worker	suck worker	lit	1
w4	d18	discuss idea	float idea	lit	3
w9	d18	discuss idea	float idea	lit	1
w14	d18	discuss idea	float idea	lit	1
w8	d18	discuss idea	float idea	lit	1
w1	d18	discuss idea	float idea	lit	4
w5	d18	discuss idea	float idea	lit	1
w21	d18	discuss idea	float idea	lit	4
w15	d18	discuss idea	float idea	lit	3
w6	d18	discuss idea	float idea	lit	1
w13	d18	discuss idea	float idea	lit	1
w10	d18	discuss idea	float idea	lit	5
w12	d18	discuss idea	float idea	lit	2
w11	d18	discuss idea	float idea	lit	1
w7	d18	discuss idea	float idea	lit	2
w22	d18	discuss idea	float idea	lit	5
w13	d19	urge someone	push someone	lit	3
w4	d19	urge someone	push someone	lit	3
w11	d19	urge someone	push someone	lit	5
w2	d19	urge someone	push someone	lit	5
w1	d19	urge someone	push someone	lit	4
w8	d19	urge someone	push someone	lit	2
w5	d19	urge someone	push someone	lit	1
w9	d19	urge someone	push someone	lit	1
w17	d19	urge someone	push someone	lit	5
w10	d19	urge someone	push someone	lit	4
w15	d19	urge someone	push someone	lit	3
w12	d19	urge someone	push someone	lit	5
w6	d19	urge someone	push someone	lit	5
w7	d19	urge someone	push someone	lit	5
w14	d19	urge someone	push someone	lit	1
w13	d20	practise profession	follow profession	lit	1
w6	d20	practise profession	follow profession	lit	1
w10	d20	practise profession	follow profession	lit	4
w7	d20	practise profession	follow profession	lit	1
w14	d20	practise profession	follow profession	lit	1
w4	d20	practise profession	follow profession	lit	3
w23	d20	practise profession	follow profession	lit	5
w5	d20	practise profession	follow profession	lit	1
w2	d20	practise profession	follow profession	lit	5
w11	d20	practise profession	follow profession	lit	1
w1	d20	practise profession	follow profession	lit	3
w8	d20	practise profession	follow profession	lit	1
w12	d20	practise profession	follow profession	lit	1
w15	d20	practise profession	follow profession	lit	3
w9	d20	practise profession	follow profession	lit	1
w2	d21	recall feeling	recapture feeling	lit	4
w24	d21	recall feeling	recapture feeling	lit	2
w25	d21	recall feeling	recapture feeling	lit	5
w26	d21	recall feeling	recapture feeling	lit	3
w27	d21	recall feeling	recapture feeling	lit	3
w28	d21	recall feeling	recapture feeling	lit	3
w23	d21	recall feeling	recapture feeling	lit	5
w15	d21	recall feeling	recapture feeling	lit	4
w29	d21	recall feeling	recapture feeling	lit	3
w30	d21	recall feeling	recapture feeling	lit	5
w31	d21	recall feeling	recapture feeling	lit	4
w32	d21	recall feeling	recapture feeling	lit	5
w4	d21	recall feeling	recapture feeling	lit	1
w33	d21	recall feeling	recapture feeling	lit	6
w34	d21	recall feeling	recapture feeling	lit	3
w32	d22	decrease appetite	dull appetite	met	4
w2	d22	decrease appetite	dull appetite	met	5
w31	d22	decrease appetite	dull appetite	met	2
w27	d22	decrease appetite	dull appetite	met	4
w4	d22	decrease appetite	dull appetite	met	4
w35	d22	decrease appetite	dull appetite	met	1
w28	d22	decrease appetite	dull appetite	met	2
w29	d22	decrease appetite	dull appetite	met	2
w15	d22	decrease appetite	dull appetite	met	3
w33	d22	decrease appetite	dull appetite	met	6
w24	d22	decrease appetite	dull appetite	met	2
w30	d22	decrease appetite	dull appetite	met	5
w36	d22	decrease appetite	dull appetite	met	1
w25	d22	decrease appetite	dull appetite	met	6
w34	d22	decrease appetite	dull appetite	met	4
w36	d23	improve economy	boost economy	lit	5
w27	d23	improve economy	boost economy	lit	1
w32	d23	improve economy	boost economy	lit	5
w33	d23	improve economy	boost economy	lit	6
w24	d23	improve economy	boost economy	lit	3
w29	d23	improve economy	boost economy	lit	1
w4	d23	improve economy	boost economy	lit	4
w25	d23	improve economy	boost economy	lit	6
w31	d23	improve economy	boost economy	lit	6
w17	d23	improve economy	boost economy	lit	4
w34	d23	improve economy	boost economy	lit	2
w15	d23	improve economy	boost economy	lit	4
w2	d23	improve economy	boost economy	lit	5
w30	d23	improve economy	boost economy	lit	3
w28	d23	improve economy	boost economy	lit	3
w34	d24	organise production	mount production	lit	2
w25	d24	organise production	mount production	lit	4
w27	d24	organise production	mount production	lit	4
w32	d24	organise production	mount production	lit	5
w29	d24	organise production	mount production	lit	4
w15	d24	organise production	mount production	lit	5
w24	d24	organise production	mount production	lit	4
w2	d24	organise production	mount production	lit	6
w31	d24	organise production	mount production	lit	5
w33	d24	organise production	mount production	lit	1
w26	d24	organise production	mount production	lit	4
w36	d24	organise production	mount production	lit	1
w4	d24	organise production	mount production	lit	1
w30	d24	organise production	mount production	lit	4
w28	d24	organise production	mount production	lit	1
w29	d25	pose question	frame question	met	4
w25	d25	pose question	frame question	met	6
w2	d25	pose question	frame question	met	3
w36	d25	pose question	frame question	met	1
w15	d25	pose question	frame question	met	5
w31	d25	pose question	frame question	met	2
w34	d25	pose question	frame question	met	1
w35	d25	pose question	frame question	met	3
w24	d25	pose question	frame question	met	3
w32	d25	pose question	frame question	met	5
w27	d25	pose question	frame question	met	4
w28	d25	pose question	frame question	met	6
w30	d25	pose question	frame question	met	5
w4	d25	pose question	frame question	met	4
w17	d25	pose question	frame question	met	2
w32	d26	pose question	frame question	met	5
w17	d26	pose question	frame question	met	2
w31	d26	pose question	frame question	met	5
w36	d26	pose question	frame question	met	1
w24	d26	pose question	frame question	met	3
w15	d26	pose question	frame question	met	4
w29	d26	pose question	frame question	met	2
w25	d26	pose question	frame question	met	4
w30	d26	pose question	frame question	met	3
w2	d26	pose question	frame question	met	5
w4	d26	pose question	frame question	met	1
w28	d26	pose question	frame question	met	3
w26	d26	pose question	frame question	met	2
w34	d26	pose question	frame question	met	2
w27	d26	pose question	frame question	met	1
w34	d27	improve economy	boost economy	lit	2
w29	d27	improve economy	boost economy	lit	1
w4	d27	improve economy	boost economy	lit	1
w24	d27	improve economy	boost economy	lit	5
w2	d27	improve economy	boost economy	lit	4
w32	d27	improve economy	boost economy	lit	4
w30	d27	improve economy	boost economy	lit	5
w33	d27	improve economy	boost economy	lit	6
w25	d27	improve economy	boost economy	lit	4
w28	d27	improve economy	boost economy	lit	1
w36	d27	improve economy	boost economy	lit	1
w31	d27	improve economy	boost economy	lit	5
w26	d27	improve economy	boost economy	lit	4
w15	d27	improve economy	boost economy	lit	3
w27	d27	improve economy	boost economy	lit	6
w34	d28	saturate market	flood market	met	1
w4	d28	saturate market	flood market	met	4
w29	d28	saturate market	flood market	met	2
w32	d28	saturate market	flood market	met	5
w2	d28	saturate market	flood market	met	4
w37	d28	saturate market	flood market	met	4
w15	d28	saturate market	flood market	met	3
w24	d28	saturate market	flood market	met	5
w25	d28	saturate market	flood market	met	4
w28	d28	saturate market	flood market	met	2
w26	d28	saturate market	flood market	met	2
w27	d28	saturate market	flood market	met	1
w31	d28	saturate market	flood market	met	5
w33	d28	saturate market	flood market	met	6
w30	d28	saturate market	flood market	met	3
w15	d29	recall feeling	recapture feeling	lit	3
w26	d29	recall feeling	recapture feeling	lit	5
w30	d29	recall feeling	recapture feeling	lit	3
w2	d29	recall feeling	recapture feeling	lit	5
w32	d29	recall feeling	recapture feeling	lit	4
w37	d29	recall feeling	recapture feeling	lit	4
w25	d29	recall feeling	recapture feeling	lit	6
w33	d29	recall feeling	recapture feeling	lit	3
w29	d29	recall feeling	recapture feeling	lit	3
w17	d29	recall feeling	recapture feeling	lit	1
w24	d29	recall feeling	recapture feeling	lit	4
w4	d29	recall feeling	recapture feeling	lit	3
w23	d29	recall feeling	recapture feeling	lit	5
w34	d29	recall feeling	recapture feeling	lit	5
w27	d29	recall feeling	recapture feeling	lit	4
w34	d30	attract worker	suck worker	lit	4
w30	d30	attract worker	suck worker	lit	4
w24	d30	attract worker	suck worker	lit	5
w15	d30	attract worker	suck worker	lit	4
w35	d30	attract worker	suck worker	lit	1
w27	d30	attract worker	suck worker	lit	1
w36	d30	attract worker	suck worker	lit	1
w4	d30	attract worker	suck worker	lit	4
w31	d30	attract worker	suck worker	lit	4
w2	d30	attract worker	suck worker	lit	5
w28	d30	attract worker	suck worker	lit	5
w29	d30	attract worker	suck worker	lit	2
w17	d30	attract worker	suck worker	lit	6
w25	d30	attract worker	suck worker	lit	4
w32	d30	attract worker	suck worker	lit	5
w25	d31	cause excitement	stir excitement	met	6
w30	d31	cause excitement	stir excitement	met	5
w15	d31	cause excitement	stir excitement	met	3
w28	d31	cause excitement	stir excitement	met	5
w34	d31	cause excitement	stir excitement	met	2
w33	d31	cause excitement	stir excitement	met	6
w17	d31	cause excitement	stir excitement	met	4
w26	d31	cause excitement	stir excitement	met	4
w2	d31	cause excitement	stir excitement	met	5
w29	d31	cause excitement	stir excitement	met	1
w24	d31	cause excitement	stir excitement	met	4
w27	d31	cause excitement	stir excitement	met	3
w31	d31	cause excitement	stir excitement	met	4
w32	d31	cause excitement	stir excitement	met	4
w4	d31	cause excitement	stir excitement	met	4
w27	d32	understand meaning	grasp meaning	met	6
w36	d32	understand meaning	grasp meaning	met	6
w30	d32	understand meaning	grasp meaning	met	4
w29	d32	understand meaning	grasp meaning	met	5
w34	d32	understand meaning	grasp meaning	met	3
w17	d32	understand meaning	grasp meaning	met	5
w28	d32	understand meaning	grasp meaning	met	5
w24	d32	understand meaning	grasp meaning	met	3
w25	d32	understand meaning	grasp meaning	met	5
w32	d32	understand meaning	grasp meaning	met	5
w33	d32	understand meaning	grasp meaning	met	1
w15	d32	understand meaning	grasp meaning	met	3
w2	d32	understand meaning	grasp meaning	met	5
w31	d32	understand meaning	grasp meaning	met	2
w4	d32	understand meaning	grasp meaning	met	4
w30	d33	result appear	result emerge	lit	5
w24	d33	result appear	result emerge	lit	5
w15	d33	result appear	result emerge	lit	2
w27	d33	result appear	result emerge	lit	2
w31	d33	result appear	result emerge	lit	4
w2	d33	result appear	result emerge	lit	4
w34	d33	result appear	result emerge	lit	2
w28	d33	result appear	result emerge	lit	4
w35	d33	result appear	result emerge	lit	1
w32	d33	result appear	result emerge	lit	4
w29	d33	result appear	result emerge	lit	1
w26	d33	result appear	result emerge	lit	5
w36	d33	result appear	result emerge	lit	2
w25	d33	result appear	result emerge	lit	6
w4	d33	result appear	result emerge	lit	4
w30	d34	drink alcohol	abuse alcohol	lit	3
w24	d34	drink alcohol	abuse alcohol	lit	3
w32	d34	drink alcohol	abuse alcohol	lit	5
w26	d34	drink alcohol	abuse alcohol	lit	2
w31	d34	drink alcohol	abuse alcohol	lit	6
w4	d34	drink alcohol	abuse alcohol	lit	4
w15	d34	drink alcohol	abuse alcohol	lit	3
w2	d34	drink alcohol	abuse alcohol	lit	5
w36	d34	drink alcohol	abuse alcohol	lit	1
w29	d34	drink alcohol	abuse alcohol	lit	2
w17	d34	drink alcohol	abuse alcohol	lit	5
w25	d34	drink alcohol	abuse alcohol	lit	3
w27	d34	drink alcohol	abuse alcohol	lit	1
w28	d34	drink alcohol	abuse alcohol	lit	4
w34	d34	drink alcohol	abuse alcohol	lit	2
w36	d35	practise profession	follow profession	lit	1
w35	d35	practise profession	follow profession	lit	1
w29	d35	practise profession	follow profession	lit	2
w32	d35	practise profession	follow profession	lit	6
w31	d35	practise profession	follow profession	lit	4
w30	d35	practise profession	follow profession	lit	3
w15	d35	practise profession	follow profession	lit	4
w25	d35	practise profession	follow profession	lit	4
w2	d35	practise profession	follow profession	lit	5
w27	d35	practise profession	follow profession	lit	1
w34	d35	practise profession	follow profession	lit	2
w28	d35	practise profession	follow profession	lit	2
w17	d35	practise profession	follow profession	lit	4
w4	d35	practise profession	follow profession	lit	1
w24	d35	practise profession	follow profession	lit	5
w31	d36	factor affect	factor shape	lit	5
w4	d36	factor affect	factor shape	lit	3
w17	d36	factor affect	factor shape	lit	6
w28	d36	factor affect	factor shape	lit	4
w32	d36	factor affect	factor shape	lit	5
w15	d36	factor affect	factor shape	lit	4
w29	d36	factor affect	factor shape	lit	1
w27	d36	factor affect	factor shape	lit	1
w36	d36	factor affect	factor shape	lit	5
w2	d36	factor affect	factor shape	lit	5
w30	d36	factor affect	factor shape	lit	4
w34	d36	factor affect	factor shape	lit	2
w24	d36	factor affect	factor shape	lit	3
w25	d36	factor affect	factor shape	lit	2
w26	d36	factor affect	factor shape	lit	3
w24	d37	practise profession	follow profession	lit	3
w30	d37	practise profession	follow profession	lit	5
w28	d37	practise profession	follow profession	lit	5
w32	d37	practise profession	follow profession	lit	4
w33	d37	practise profession	follow profession	lit	6
w25	d37	practise profession	follow profession	lit	4
w2	d37	practise profession	follow profession	lit	4
w31	d37	practise profession	follow profession	lit	5
w29	d37	practise profession	follow profession	lit	1
w27	d37	practise profession	follow profession	lit	1
w15	d37	practise profession	follow profession	lit	1
w36	d37	practise profession	follow profession	lit	1
w34	d37	practise profession	follow profession	lit	1
w26	d37	practise profession	follow profession	lit	5
w4	d37	practise profession	follow profession	lit	1
w30	d38	get disease	catch disease	lit	2
w36	d38	get disease	catch disease	lit	1
w24	d38	get disease	catch disease	lit	2
w4	d38	get disease	catch disease	lit	4
w2	d38	get disease	catch disease	lit	4
w33	d38	get disease	catch disease	lit	6
w32	d38	get disease	catch disease	lit	5
w15	d38	get disease	catch disease	lit	3
w27	d38	get disease	catch disease	lit	2
w17	d38	get disease	catch disease	lit	5
w28	d38	get disease	catch disease	lit	4
w34	d38	get disease	catch disease	lit	5
w25	d38	get disease	catch disease	lit	6
w29	d38	get disease	catch disease	lit	2
w31	d38	get disease	catch disease	lit	4
w37	d39	drink alcohol	abuse alcohol	met	5
w28	d39	drink alcohol	abuse alcohol	met	2
w25	d39	drink alcohol	abuse alcohol	met	6
w30	d39	drink alcohol	abuse alcohol	met	5
w29	d39	drink alcohol	abuse alcohol	met	1
w24	d39	drink alcohol	abuse alcohol	met	5
w15	d39	drink alcohol	abuse alcohol	met	3
w2	d39	drink alcohol	abuse alcohol	met	5
w32	d39	drink alcohol	abuse alcohol	met	5
w26	d39	drink alcohol	abuse alcohol	met	5
w17	d39	drink alcohol	abuse alcohol	met	6
w23	d39	drink alcohol	abuse alcohol	met	5
w27	d39	drink alcohol	abuse alcohol	met	6
w34	d39	drink alcohol	abuse alcohol	met	5
w4	d39	drink alcohol	abuse alcohol	met	4
w37	d40	believe story	buy story	met	5
w15	d40	believe story	buy story	met	4
w17	d40	believe story	buy story	met	4
w30	d40	believe story	buy story	met	1
w32	d40	believe story	buy story	met	4
w33	d40	believe story	buy story	met	3
w2	d40	believe story	buy story	met	4
w25	d40	believe story	buy story	met	2
w27	d40	believe story	buy story	met	4
w28	d40	believe story	buy story	met	4
w29	d40	believe story	buy story	met	1
w36	d40	believe story	buy story	met	2
w34	d40	believe story	buy story	met	6
w4	d40	believe story	buy story	met	5
w24	d40	believe story	buy story	met	2
w38	d41	understand meaning	grasp meaning	lit	4
w35	d41	understand meaning	grasp meaning	lit	3
w39	d41	understand meaning	grasp meaning	lit	5
w40	d41	understand meaning	grasp meaning	lit	3
w41	d41	understand meaning	grasp meaning	lit	3
w28	d41	understand meaning	grasp meaning	lit	3
w42	d41	understand meaning	grasp meaning	lit	4
w43	d41	understand meaning	grasp meaning	lit	5
w25	d41	understand meaning	grasp meaning	lit	5
w2	d41	understand meaning	grasp meaning	lit	5
w44	d41	understand meaning	grasp meaning	lit	5
w45	d41	understand meaning	grasp meaning	lit	5
w15	d41	understand meaning	grasp meaning	lit	4
w46	d41	understand meaning	grasp meaning	lit	6
w31	d41	understand meaning	grasp meaning	lit	5
w43	d42	make remark	throw remark	met	2
w2	d42	make remark	throw remark	met	5
w46	d42	make remark	throw remark	met	6
w45	d42	make remark	throw remark	met	2
w28	d42	make remark	throw remark	met	4
w25	d42	make remark	throw remark	met	6
w41	d42	make remark	throw remark	met	3
w40	d42	make remark	throw remark	met	5
w31	d42	make remark	throw remark	met	4
w42	d42	make remark	throw remark	met	4
w44	d42	make remark	throw remark	met	5
w39	d42	make remark	throw remark	met	5
w12	d42	make remark	throw remark	met	2
w47	d42	make remark	throw remark	met	1
w15	d42	make remark	throw remark	met	1
w31	d43	cause doubt	cast doubt	lit	5
w45	d43	cause doubt	cast doubt	lit	1
w42	d43	cause doubt	cast doubt	lit	4
w25	d43	cause doubt	cast doubt	lit	5
w28	d43	cause doubt	cast doubt	lit	6
w35	d43	cause doubt	cast doubt	lit	1
w46	d43	cause doubt	cast doubt	lit	6
w15	d43	cause doubt	cast doubt	lit	3
w39	d43	cause doubt	cast doubt	lit	4
w40	d43	cause doubt	cast doubt	lit	4
w38	d43	cause doubt	cast doubt	lit	5
w43	d43	cause doubt	cast doubt	lit	2
w44	d43	cause doubt	cast doubt	lit	4
w41	d43	cause doubt	cast doubt	lit	4
w2	d43	cause doubt	cast doubt	lit	6
w41	d44	war displace	war uproot	met	4
w46	d44	war displace	war uproot	met	6
w44	d44	war displace	war uproot	met	5
w28	d44	war displace	war uproot	met	5
w43	d44	war displace	war uproot	met	5
w39	d44	war displace	war uproot	met	5
w45	d44	war displace	war uproot	met	2
w40	d44	war displace	war uproot	met	4
w35	d44	war displace	war uproot	met	1
w25	d44	war displace	war uproot	met	4
w2	d44	war displace	war uproot	met	5
w42	d44	war displace	war uproot	met	4
w47	d44	war displace	war uproot	met	2
